model_id,fold,kind,architecture,mode,seed,participant,score
fold2__classification__LSTM__history__20260907,2,classification,LSTM,history,20260907,P40,0.33398974980433743
fold2__classification__LSTM__history__20260908,2,classification,LSTM,history,20260908,P12,0.3438067309035051
fold2__classification__LSTM__history__20260908,2,classification,LSTM,history,20260908,P19,0.3073506289308176
fold2__classification__LSTM__history__20260908,2,classification,LSTM,history,20260908,P2,0.3423096428312686
fold2__classification__LSTM__history__20260908,2,classification,LSTM,history,20260908,P35,0.3833333333333333
fold2__classification__LSTM__history__20260908,2,classification,LSTM,history,20260908,P40,0.31741523391148474
fold2__classification__LSTM__repeat_current__20260907,2,classification,LSTM,repeat_current,20260907,P12,0.29382767769864543
fold2__classification__LSTM__repeat_current__20260907,2,classification,LSTM,repeat_current,20260907,P19,0.34296383647798745
fold2__classification__LSTM__repeat_current__20260907,2,classification,LSTM,repeat_current,20260907,P2,0.40583206549300876
fold2__classification__LSTM__repeat_current__20260907,2,classification,LSTM,repeat_current,20260907,P35,0.3537037037037037
fold2__classification__LSTM__repeat_current__20260907,2,classification,LSTM,repeat_current,20260907,P40,0.32777904011714504
fold2__classification__LSTM__repeat_current__20260908,2,classification,LSTM,repeat_current,20260908,P12,0.35890238793464596
fold2__classification__LSTM__repeat_current__20260908,2,classification,LSTM,repeat_current,20260908,P19,0.28647798742138364
fold2__classification__LSTM__repeat_current__20260908,2,classification,LSTM,repeat_current,20260908,P2,0.32669709483445625
fold2__classification__LSTM__repeat_current__20260908,2,classification,LSTM,repeat_current,20260908,P35,0.36481481481481476
fold2__classification__LSTM__repeat_current__20260908,2,classification,LSTM,repeat_current,20260908,P40,0.33585801206796434
fold2__classification__BiLSTM__history__20260907,2,classification,BiLSTM,history,20260907,P12,0.2940231811199553
fold2__classification__BiLSTM__history__20260907,2,classification,BiLSTM,history,20260907,P19,0.3636268343815514
fold2__classification__BiLSTM__history__20260907,2,classification,BiLSTM,history,20260907,P2,0.4011881475041658
fold2__classification__BiLSTM__history__20260907,2,classification,BiLSTM,history,20260907,P35,0.33148148148148143
fold2__classification__BiLSTM__history__20260907,2,classification,BiLSTM,history,20260907,P40,0.299199676841122
fold2__classification__BiLSTM__history__20260908,2,classification,BiLSTM,history,20260908,P12,0.31335009076944564
fold2__classification__BiLSTM__history__20260908,2,classification,BiLSTM,history,20260908,P19,0.36806865828092244
fold2__classification__BiLSTM__history__20260908,2,classification,BiLSTM,history,20260908,P2,0.4229950010867203
fold2__classification__BiLSTM__history__20260908,2,classification,BiLSTM,history,20260908,P35,0.29444444444444445
fold2__classification__BiLSTM__history__20260908,2,classification,BiLSTM,history,20260908,P40,0.3031255522734732
fold2__classification__BiLSTM__repeat_current__20260907,2,classification,BiLSTM,repeat_current,20260907,P12,0.336950146627566
fold2__classification__BiLSTM__repeat_current__20260907,2,classification,BiLSTM,repeat_current,20260907,P19,0.32822327044025157
fold2__classification__BiLSTM__repeat_current__20260907,2,classification,BiLSTM,repeat_current,20260907,P2,0.41045424907628775
fold2__classification__BiLSTM__repeat_current__20260907,2,classification,BiLSTM,repeat_current,20260907,P35,0.29259259259259257
fold2__classification__BiLSTM__repeat_current__20260907,2,classification,BiLSTM,repeat_current,20260907,P40,0.3341286071347421
fold2__classification__BiLSTM__repeat_current__20260908,2,classification,BiLSTM,repeat_current,20260908,P12,0.3305683563748079
fold2__classification__BiLSTM__repeat_current__20260908,2,classification,BiLSTM,repeat_current,20260908,P19,0.3450995807127883
fold2__classification__BiLSTM__repeat_current__20260908,2,classification,BiLSTM,repeat_current,20260908,P2,0.41057016590596246
fold2__classification__BiLSTM__repeat_current__20260908,2,classification,BiLSTM,repeat_current,20260908,P35,0.3148148148148148
fold2__classification__BiLSTM__repeat_current__20260908,2,classification,BiLSTM,repeat_current,20260908,P40,0.33599686939836904
fold2__classification__MLP_current__current__20260907,2,classification,MLP_current,current,20260907,P12,0.3281245636084346
fold2__classification__MLP_current__current__20260907,2,classification,MLP_current,current,20260907,P19,0.35103511530398324
fold2__classification__MLP_current__current__20260907,2,classification,MLP_current,current,20260907,P2,0.39934796783307974
fold2__classification__MLP_current__current__20260907,2,classification,MLP_current,current,20260907,P35,0.32407407407407407
fold2__classification__MLP_current__current__20260907,2,classification,MLP_current,current,20260907,P40,0.3300007574036204
fold2__classification__MLP_current__current__20260908,2,classification,MLP_current,current,20260908,P12,0.3477307638597961
fold2__classification__MLP_current__current__20260908,2,classification,MLP_current,current,20260908,P19,0.31957547169811323
fold2__classification__MLP_current__current__20260908,2,classification,MLP_current,current,20260908,P2,0.41493153662247345
fold2__classification__MLP_current__current__20260908,2,classification,MLP_current,current,20260908,P35,0.3074074074074074
fold2__classification__MLP_current__current__20260908,2,classification,MLP_current,current,20260908,P40,0.3341917241031078
fold2__classification__dummy_prior__current__20260907,2,classification,dummy_prior,current,20260907,P12,0.3333333333333333
fold2__classification__dummy_prior__current__20260907,2,classification,dummy_prior,current,20260907,P19,0.3333333333333333
fold2__classification__dummy_prior__current__20260907,2,classification,dummy_prior,current,20260907,P2,0.3333333333333333
fold2__classification__dummy_prior__current__20260907,2,classification,dummy_prior,current,20260907,P35,0.3333333333333333
fold2__classification__dummy_prior__current__20260907,2,classification,dummy_prior,current,20260907,P40,0.3333333333333333
fold2__classification__logistic__current__20260907,2,classification,logistic,current,20260907,P12,0.33045664013405945
fold2__classification__logistic__current__20260907,2,classification,logistic,current,20260907,P19,0.3595256813417191
fold2__classification__logistic__current__20260907,2,classification,logistic,current,20260907,P2,0.3916032746504383
fold2__classification__logistic__current__20260907,2,classification,logistic,current,20260907,P35,0.31296296296296294
fold2__classification__logistic__current__20260907,2,classification,logistic,current,20260907,P40,0.34442929637203673
fold2__classification__random_forest__current__20260907,2,classification,random_forest,current,20260907,P12,0.3283479960899316
fold2__classification__random_forest__current__20260907,2,classification,random_forest,current,20260907,P19,0.32236635220125787
fold2__classification__random_forest__current__20260907,2,classification,random_forest,current,20260907,P2,0.3498877055712526
fold2__classification__random_forest__current__20260907,2,classification,random_forest,current,20260907,P35,0.3074074074074074
fold2__classification__random_forest__current__20260907,2,classification,random_forest,current,20260907,P40,0.36058724027367517
fold2__regression__TCN__history__20260907,2,regression,TCN,history,20260907,P12,-0.9966075824864473
fold2__regression__TCN__history__20260907,2,regression,TCN,history,20260907,P19,-1.0164431099435411
fold2__regression__TCN__history__20260907,2,regression,TCN,history,20260907,P2,-1.0021074429714596
fold2__regression__TCN__history__20260907,2,regression,TCN,history,20260907,P35,-1.0033040901958232
fold2__regression__TCN__history__20260907,2,regression,TCN,history,20260907,P40,-0.9927654900223716
fold2__regression__TCN__history__20260908,2,regression,TCN,history,20260908,P12,-0.9942468995241698
fold2__regression__TCN__history__20260908,2,regression,TCN,history,20260908,P19,-1.01665277228579
fold2__regression__TCN__history__20260908,2,regression,TCN,history,20260908,P2,-1.0087726487509707
fold2__regression__TCN__history__20260908,2,regression,TCN,history,20260908,P35,-1.0080782880110322
fold2__regression__TCN__history__20260908,2,regression,TCN,history,20260908,P40,-0.9951780642944181
fold2__regression__TCN__repeat_current__20260907,2,regression,TCN,repeat_current,20260907,P12,-0.993069858224838
fold2__regression__TCN__repeat_current__20260907,2,regression,TCN,repeat_current,20260907,P19,-1.0153217828574497
fold2__regression__TCN__repeat_current__20260907,2,regression,TCN,repeat_current,20260907,P2,-1.0058144235554984
fold2__regression__TCN__repeat_current__20260907,2,regression,TCN,repeat_current,20260907,P35,-1.0017586419737343
fold2__regression__TCN__repeat_current__20260907,2,regression,TCN,repeat_current,20260907,P40,-1.0018902354928867
fold2__regression__TCN__repeat_current__20260908,2,regression,TCN,repeat_current,20260908,P12,-0.9937214475276517
fold2__regression__TCN__repeat_current__20260908,2,regression,TCN,repeat_current,20260908,P19,-1.0137694683555971
fold2__regression__TCN__repeat_current__20260908,2,regression,TCN,repeat_current,20260908,P2,-1.0045744752107817
fold2__regression__TCN__repeat_current__20260908,2,regression,TCN,repeat_current,20260908,P35,-1.0066337701886447
fold2__regression__TCN__repeat_current__20260908,2,regression,TCN,repeat_current,20260908,P40,-1.0038139396492372
fold2__regression__LSTM__history__20260907,2,regression,LSTM,history,20260907,P12,-1.0110915670225702
fold2__regression__LSTM__history__20260907,2,regression,LSTM,history,20260907,P19,-1.01627939700266
fold2__regression__LSTM__history__20260907,2,regression,LSTM,history,20260907,P2,-0.9948944678377329
fold2__regression__LSTM__history__20260907,2,regression,LSTM,history,20260907,P35,-1.0213571226180842
