kind,architecture,reference,reference_mode,participant,delta
classification,BiLSTM,BiLSTM,repeat_current,P4,-0.032679738562091554
classification,BiLSTM,BiLSTM,repeat_current,P40,-0.033900123709257934
classification,BiLSTM,BiLSTM,repeat_current,P43,0.011176334705746527
classification,BiLSTM,BiLSTM,repeat_current,P44,-0.009112472227226331
classification,BiLSTM,BiLSTM,repeat_current,P46,0.07397959183673464
classification,BiLSTM,BiLSTM,repeat_current,P48,0.009306260575296155
classification,BiLSTM,BiLSTM,repeat_current,P8,0.012861699703804963
classification,BiLSTM,BiLSTM,repeat_current,P9,0.02540993005389297
classification,BiLSTM,MLP_current,current,P12,-0.0342410277894149
classification,BiLSTM,MLP_current,current,P13,-0.007494372825864515
classification,BiLSTM,MLP_current,current,P18,0.02547770700636942
classification,BiLSTM,MLP_current,current,P19,0.03054245283018875
classification,BiLSTM,MLP_current,current,P2,0.004951822067666478
classification,BiLSTM,MLP_current,current,P20,-0.038211548987411026
classification,BiLSTM,MLP_current,current,P21,-0.008045141916109666
classification,BiLSTM,MLP_current,current,P22,0.03562866872787557
classification,BiLSTM,MLP_current,current,P24,-0.049278576869650925
classification,BiLSTM,MLP_current,current,P26,0.03619047619047616
classification,BiLSTM,MLP_current,current,P27,0.06417399804496582
classification,BiLSTM,MLP_current,current,P3,0.02380952380952378
classification,BiLSTM,MLP_current,current,P30,-0.01190294908887879
classification,BiLSTM,MLP_current,current,P33,0.007671138630890917
classification,BiLSTM,MLP_current,current,P34,0.0662156166814552
classification,BiLSTM,MLP_current,current,P35,-0.0027777777777778234
classification,BiLSTM,MLP_current,current,P36,-0.014885717600649773
classification,BiLSTM,MLP_current,current,P4,-0.021786492374727684
classification,BiLSTM,MLP_current,current,P40,-0.030933626196066488
classification,BiLSTM,MLP_current,current,P43,0.007317272023154409
classification,BiLSTM,MLP_current,current,P44,-0.014461858724153731
classification,BiLSTM,MLP_current,current,P46,0.10522959183673469
classification,BiLSTM,MLP_current,current,P48,0.025380710659898442
classification,BiLSTM,MLP_current,current,P8,-0.025256322624743643
classification,BiLSTM,MLP_current,current,P9,0.015812406834078696
classification,BiLSTM,logistic,current,P12,-0.026770004189358987
classification,BiLSTM,logistic,current,P13,0.006087579291999212
classification,BiLSTM,logistic,current,P18,0.04883227176220806
classification,BiLSTM,logistic,current,P19,0.006322064989517873
classification,BiLSTM,logistic,current,P2,0.02048829964500476
classification,BiLSTM,logistic,current,P20,-0.06981763447280687
classification,BiLSTM,logistic,current,P21,-0.0019858568245665342
classification,BiLSTM,logistic,current,P22,0.02974750190437786
classification,BiLSTM,logistic,current,P24,-0.04265806335977057
classification,BiLSTM,logistic,current,P26,-0.008571428571428619
classification,BiLSTM,logistic,current,P27,0.01877531071079458
classification,BiLSTM,logistic,current,P3,0.023809523809523836
classification,BiLSTM,logistic,current,P30,0.005799198010253248
classification,BiLSTM,logistic,current,P33,-0.0010549248939341616
classification,BiLSTM,logistic,current,P34,0.006011535048802141
classification,BiLSTM,logistic,current,P35,0.0
classification,BiLSTM,logistic,current,P36,-0.037504350852767154
classification,BiLSTM,logistic,current,P4,-0.04466230936819171
classification,BiLSTM,logistic,current,P40,-0.04326668181473914
classification,BiLSTM,logistic,current,P43,-0.006107917872623714
classification,BiLSTM,logistic,current,P44,-0.01054864989291221
classification,BiLSTM,logistic,current,P46,0.10459183673469385
classification,BiLSTM,logistic,current,P48,0.020304568527918787
classification,BiLSTM,logistic,current,P8,-0.03791676160097218
classification,BiLSTM,logistic,current,P9,0.01676986584107326
classification,BiLSTM,random_forest,current,P12,-0.024661360145231126
classification,BiLSTM,random_forest,current,P13,0.054317577245754034
classification,BiLSTM,random_forest,current,P18,0.06369426751592355
classification,BiLSTM,random_forest,current,P19,0.04348139412997909
classification,BiLSTM,random_forest,current,P2,0.06220386872419048
classification,BiLSTM,random_forest,current,P20,-0.027759118276359684
classification,BiLSTM,random_forest,current,P21,-0.007032839290903814
classification,BiLSTM,random_forest,current,P22,0.029904333019671103
classification,BiLSTM,random_forest,current,P24,0.04450643007572708
classification,BiLSTM,random_forest,current,P26,0.0847619047619047
classification,BiLSTM,random_forest,current,P27,0.11141600335148721
classification,BiLSTM,random_forest,current,P3,-0.025879917184264967
classification,BiLSTM,random_forest,current,P30,-0.026170414361369188
classification,BiLSTM,random_forest,current,P33,0.014700149065474122
classification,BiLSTM,random_forest,current,P34,-0.016481810115350437
classification,BiLSTM,random_forest,current,P35,0.005555555555555536
classification,BiLSTM,random_forest,current,P36,0.027630815639865358
classification,BiLSTM,random_forest,current,P4,-0.03594771241830069
classification,BiLSTM,random_forest,current,P40,-0.05942462571637758
classification,BiLSTM,random_forest,current,P43,0.046505781799899504
classification,BiLSTM,random_forest,current,P44,-0.029063832342520857
classification,BiLSTM,random_forest,current,P46,0.028061224489795866
classification,BiLSTM,random_forest,current,P48,0.03722504230118445
classification,BiLSTM,random_forest,current,P8,-0.05718462823725978
classification,BiLSTM,random_forest,current,P9,0.04372778351106532
classification,BiLSTM,dummy_prior,current,P12,-0.029646697388632848
classification,BiLSTM,dummy_prior,current,P13,0.04755473705749952
classification,BiLSTM,dummy_prior,current,P18,0.019108280254777066
classification,BiLSTM,dummy_prior,current,P19,0.03251441299790364
classification,BiLSTM,dummy_prior,current,P2,0.07875824096210976
classification,BiLSTM,dummy_prior,current,P20,-0.0244999253619943
classification,BiLSTM,dummy_prior,current,P21,0.006006006006006037
classification,BiLSTM,dummy_prior,current,P22,0.001652327821839883
classification,BiLSTM,dummy_prior,current,P24,0.058587623784558895
classification,BiLSTM,dummy_prior,current,P26,0.09047619047619043
classification,BiLSTM,dummy_prior,current,P27,0.11496299399525206
classification,BiLSTM,dummy_prior,current,P3,0.04037267080745344
classification,BiLSTM,dummy_prior,current,P30,-0.028420723144341242
classification,BiLSTM,dummy_prior,current,P33,-0.008152734778121784
classification,BiLSTM,dummy_prior,current,P34,-0.17726264418811
classification,BiLSTM,dummy_prior,current,P35,-0.020370370370370372
classification,BiLSTM,dummy_prior,current,P36,0.05374753451676528
classification,BiLSTM,dummy_prior,current,P4,-0.05773420479302832
classification,BiLSTM,dummy_prior,current,P40,-0.03217071877603572
classification,BiLSTM,dummy_prior,current,P43,0.02642914407620295
classification,BiLSTM,dummy_prior,current,P44,0.012450209171520676
classification,BiLSTM,dummy_prior,current,P46,-0.11224489795918369
classification,BiLSTM,dummy_prior,current,P48,0.03722504230118445
