fold,inner,representation,estimator,smoothing,score,fit_participants,evaluation_participants
1,2,full__recording_8,hgb,4,0.33534037198131533,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__recording_8,hgb,8,0.33238425924550963,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__recording_8,rbf,1,0.335941652560021,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__recording_8,rbf,4,0.3365612611158613,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__recording_8,rbf,8,0.3330057384970732,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,3,eye__current,logistic_0.1,1,0.3428511543003521,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__current,logistic_0.1,4,0.3359938700965768,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__current,logistic_0.1,8,0.32927920936606625,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__current,logistic_1,1,0.34252982320507613,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__current,logistic_1,4,0.33705840295503103,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__current,logistic_1,8,0.32902679033633747,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__current,hgb,1,0.33159150629139406,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__current,hgb,4,0.31972739799462874,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__current,hgb,8,0.31291750389545164,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__current,rbf,1,0.35015164454601533,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__current,rbf,4,0.3370421432458281,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__current,rbf,8,0.32445653694308374,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__recording_8,logistic_0.1,1,0.3266689930047301,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__recording_8,logistic_0.1,4,0.3152322987217537,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__recording_8,logistic_0.1,8,0.3067064010589862,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__recording_8,logistic_1,1,0.3233881682882495,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__recording_8,logistic_1,4,0.31351880336668153,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__recording_8,logistic_1,8,0.30790083331391643,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__recording_8,hgb,1,0.34227243345595837,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__recording_8,hgb,4,0.33856372478514923,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__recording_8,hgb,8,0.33356165929245507,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__recording_8,rbf,1,0.3588782025490637,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
