fold,task,kind,model,subset,n_features,macro_score,balanced_accuracy,macro_f1,rows,r2,mse
1,attention_primary,regression,random_forest,compact_no_noise,9,-1.0549123905116162,,,2612,-0.052701990515865216,1.0527019927943875
1,arousal_primary_6s,classification,dummy,full,25,0.3333333333333333,0.3333333333333333,0.1665709362435382,2612,,
1,arousal_primary_6s,classification,logistic,full,25,0.32967021949992925,0.3322568455833245,0.3295513756740983,2612,,
1,arousal_primary_6s,classification,logistic,Pupil,6,0.32242523039098436,0.32347446307427324,0.3206318430548372,2612,,
1,arousal_primary_6s,classification,logistic,Eye_Pupil,16,0.31908431268762005,0.3200745193152659,0.32040648531837607,2612,,
1,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,0.3477955710922433,0.3498470948012233,0.34659027323694724,2612,,
1,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,0.3307613574735386,0.33270677352455275,0.33255670956663147,2612,,
1,arousal_primary_6s,classification,random_forest,full,25,0.34589201343111586,0.34578631937853704,0.3407180575735094,2612,,
1,arousal_primary_6s,classification,random_forest,Pupil,6,0.33144336599207996,0.33273137895883864,0.331897884019826,2612,,
1,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,0.3345634432984088,0.3392588491686878,0.33736590442958336,2612,,
1,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,0.3384260043840062,0.3376928890294914,0.3372882430350079,2612,,
1,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,0.3245384840829393,0.32737706070512146,0.32636167761457974,2612,,
1,arousal_primary_6s,regression,dummy,full,25,-1.0000000004501508,,,2612,0.0,1.0000000005774083
1,arousal_primary_6s,regression,ridge,full,25,-1.0157615215457654,,,2612,-0.01644547714508615,1.0164454777319902
1,arousal_primary_6s,regression,ridge,Pupil,6,-1.01053524876106,,,2612,-0.011317677159578432,1.0113176777435215
