variant,participant,loss
current_no_smooth,P33,0.07626418988648087
current_no_smooth,P4,-0.1568627450980392
current_no_smooth,P9,0.08564384818254794
current_no_smooth,P13,0.020278289339062783
current_no_smooth,P21,0.026813910684878428
current_no_smooth,P26,0.024761904761904763
current_no_smooth,P34,0.01091393078970715
current_no_smooth,P44,0.018274985488100304
drop_pupil_mean_z,P22,-0.013532284805305383
drop_pupil_mean_z,P24,-0.013476273692700713
drop_pupil_mean_z,P30,-0.0017088811058661446
drop_pupil_mean_z,P43,-0.0015150897503840022
drop_pupil_mean_z,P48,0.015228426395938965
drop_pupil_mean_z,P12,-0.010738723641949499
drop_pupil_mean_z,P19,-0.004245283018868007
drop_pupil_mean_z,P2,0.026450771571397524
drop_pupil_mean_z,P35,0.003703703703703598
drop_pupil_mean_z,P40,0.002057613168724326
drop_pupil_mean_z,P18,0.004246284501061515
drop_pupil_mean_z,P27,0.021589163524647292
drop_pupil_mean_z,P36,0.029539389720385056
drop_pupil_mean_z,P46,0.015306122448979664
drop_pupil_mean_z,P8,0.02071086807928918
drop_pupil_mean_z,P20,0.007096830372692486
drop_pupil_mean_z,P3,0.004140786749482428
drop_pupil_mean_z,P33,-0.003933035202385027
drop_pupil_mean_z,P4,-0.05010893246187359
drop_pupil_mean_z,P9,0.03535145052172922
drop_pupil_mean_z,P13,0.009218334356455915
drop_pupil_mean_z,P21,-0.023307178145887786
drop_pupil_mean_z,P26,0.007619047619047581
drop_pupil_mean_z,P34,0.0020408163265306367
drop_pupil_mean_z,P44,0.007336015532736828
drop_pupil_std_z,P22,-0.005780346820809301
drop_pupil_std_z,P24,-0.015425460411345682
drop_pupil_std_z,P30,-0.0067170871190972425
drop_pupil_std_z,P43,0.007548272254154609
drop_pupil_std_z,P48,0.0016920473773264777
drop_pupil_std_z,P12,0.004301075268817178
drop_pupil_std_z,P19,-0.006328616352201222
drop_pupil_std_z,P2,-0.037310729551546684
drop_pupil_std_z,P35,0.024074074074074026
drop_pupil_std_z,P40,1.2623393673194538e-05
drop_pupil_std_z,P18,-0.008492569002123196
drop_pupil_std_z,P27,-0.05414048317274123
drop_pupil_std_z,P36,0.047163243995823056
drop_pupil_std_z,P46,0.05484693877551017
drop_pupil_std_z,P8,-0.008012455380876415
drop_pupil_std_z,P20,-0.007208787381201176
drop_pupil_std_z,P3,-0.006211180124223614
drop_pupil_std_z,P33,0.019596376562320883
drop_pupil_std_z,P4,-0.023965141612200397
drop_pupil_std_z,P9,-6.8799449604251e-05
drop_pupil_std_z,P13,0.005586249232658103
drop_pupil_std_z,P21,-1.93742129225849e-05
drop_pupil_std_z,P26,0.005714285714285672
drop_pupil_std_z,P34,-0.004081632653061273
drop_pupil_std_z,P44,0.009137492744050124
drop_pupil_min_z,P22,-0.015391853743782824
drop_pupil_min_z,P24,-0.011571895864139481
drop_pupil_min_z,P30,8.459807454785917e-06
drop_pupil_min_z,P43,0.02714252714252713
drop_pupil_min_z,P48,-0.0016920473773266442
drop_pupil_min_z,P12,-0.019354838709677413
drop_pupil_min_z,P19,-0.02096436058700213
drop_pupil_min_z,P2,-0.04358472795769036
drop_pupil_min_z,P35,0.011111111111111016
drop_pupil_min_z,P40,0.0
drop_pupil_min_z,P18,-0.00424628450106157
drop_pupil_min_z,P27,0.0194246613601452
