model_id,fold,variant,kind,macro_score,rows,participants,balanced_accuracy,macro_f1
fold3_without_eeg,3,without_eeg,modality,0.39183147766836063,2659,5,0.38350363507591184,0.3833772998524627
fold3_only_eeg,3,only_eeg,unimodal,0.3965709739203993,2659,5,0.40083162561200386,0.39850951809667806
fold3_current_keep_smooth,3,current_keep_smooth,temporal,0.389301728214276,2659,5,0.3833950155597062,0.3803329604113292
fold3_no_smooth,3,no_smooth,temporal,0.41575698837573893,2659,5,0.42063963512972596,0.4203019395058878
fold3_current_no_smooth,3,current_no_smooth,temporal,0.3840021272609307,2659,5,0.37870929750350785,0.3749395537278004
fold3_drop_pupil_mean_z,3,drop_pupil_mean_z,variable,0.39618922285529956,2659,5,0.3969002661658702,0.39621254316586835
fold3_drop_pupil_std_z,3,drop_pupil_std_z,variable,0.4081946534670536,2659,5,0.4096044522430082,0.40994390171114636
fold3_drop_pupil_min_z,3,drop_pupil_min_z,variable,0.41764194155673273,2659,5,0.42854226071691404,0.42709114797453496
fold3_drop_pupil_max_z,3,drop_pupil_max_z,variable,0.4059604436021381,2659,5,0.4048642196267396,0.4048273961525894
fold3_drop_pupil_slope_z_s,3,drop_pupil_slope_z_s,variable,0.4120105529540477,2659,5,0.4178232226265279,0.4169837848980374
fold3_drop_gaze_dispersion_x_px,3,drop_gaze_dispersion_x_px,variable,0.41235749176817593,2659,5,0.417655834506436,0.41771731366516307
fold3_drop_gaze_dispersion_y_px,3,drop_gaze_dispersion_y_px,variable,0.40670704161784493,2659,5,0.4123571718375198,0.41237809124965885
fold3_drop_gaze_dispersion_2d_px,3,drop_gaze_dispersion_2d_px,variable,0.40924843215676543,2659,5,0.41519126272578294,0.4151651949287924
fold3_drop_gaze_path_length_px,3,drop_gaze_path_length_px,variable,0.4149950817467687,2659,5,0.4186718585766875,0.41827450591758425
fold3_drop_fixation_count,3,drop_fixation_count,variable,0.429032772352232,2659,5,0.4377405933756891,0.4353391530750221
fold3_drop_fixation_total_ms,3,drop_fixation_total_ms,variable,0.41232312779620023,2659,5,0.41641074522234905,0.4175860894709897
fold3_drop_fixation_mean_ms,3,drop_fixation_mean_ms,variable,0.4055845842854356,2659,5,0.4110307535283922,0.4118618407750481
fold3_drop_fixation_median_ms,3,drop_fixation_median_ms,variable,0.42632100380459087,2659,5,0.43472475407606187,0.43380319519198957
fold3_drop_saccade_count,3,drop_saccade_count,variable,0.42364689647705467,2659,5,0.43401520231216933,0.43322931370344603
fold3_drop_saccade_mean_ms,3,drop_saccade_mean_ms,variable,0.4232259144060483,2659,5,0.42969732670472194,0.42869962830184744
fold3_drop_eeg_rms_uv,3,drop_eeg_rms_uv,variable,0.4249839173702975,2659,5,0.4282280894668146,0.42811747870094613
fold3_drop_eeg_std_uv,3,drop_eeg_std_uv,variable,0.4248692905322864,2659,5,0.42920076093582277,0.42899180590934244
fold3_drop_eeg_peak_to_peak_uv,3,drop_eeg_peak_to_peak_uv,variable,0.4168478922025744,2659,5,0.42142850010371635,0.4212311018827776
fold3_drop_eeg_delta_relative,3,drop_eeg_delta_relative,variable,0.4209879820317344,2659,5,0.4269235009339845,0.4258132808440249
fold3_drop_eeg_theta_relative,3,drop_eeg_theta_relative,variable,0.41400350168211536,2659,5,0.4197898589307745,0.419146013822288
fold3_drop_eeg_alpha_relative,3,drop_eeg_alpha_relative,variable,0.43082960721137137,2659,5,0.4366450266366244,0.4356736646314001
fold3_drop_eeg_beta_relative,3,drop_eeg_beta_relative,variable,0.42028098704966704,2659,5,0.4278685920692397,0.4267359761894604
fold3_drop_eeg_gamma_relative,3,drop_eeg_gamma_relative,variable,0.41154023358547986,2659,5,0.41617319003604347,0.4159549367482829
fold3_drop_eeg_line_noise_ratio,3,drop_eeg_line_noise_ratio,variable,0.4020918141145941,2659,5,0.39923287402521884,0.39948996803243714
fold3_pca_0.8,3,pca_0.8,pca,0.41589846995200314,2659,5,0.4048298581841077,0.40542336342532065
fold3_pca_0.9,3,pca_0.9,pca,0.4203435187364549,2659,5,0.4237898033856629,0.4187124384220881
fold3_pca_0.95,3,pca_0.95,pca,0.3790493037420545,2659,5,0.3765241611503131,0.3762022900753987
fold3_pca_full,3,pca_full,pca,0.4144675885101721,2659,5,0.42078477682480014,0.4205863155374681
fold4_reference,4,reference,reference,0.3437623242154181,2660,5,0.34471629752727934,0.34192127313139714
fold4_without_pupil,4,without_pupil,modality,0.35816154118313415,2660,5,0.35672615821035053,0.350567222603774
fold4_only_pupil,4,only_pupil,unimodal,0.32615145473872464,2660,5,0.3281141443626397,0.30473140409204663
fold4_without_eye,4,without_eye,modality,0.35075687561532876,2660,5,0.3552132084290856,0.34695483164146007
fold4_only_eye,4,only_eye,unimodal,0.3417767497712819,2660,5,0.3428186419844201,0.3367956191485603
fold4_without_eeg,4,without_eeg,modality,0.335859316799992,2660,5,0.33682283090845705,0.33569305620361156
fold4_only_eeg,4,only_eeg,unimodal,0.3657820683562766,2660,5,0.36832671232237574,0.3414081978022081
