scope,reference,participant,delta
ordinal,global,P36,0.06069149553312453
ordinal,global,P4,0.014161220043573008
ordinal,global,P40,0.012295185437653011
ordinal,global,P43,0.036987213457801704
ordinal,global,P44,0.02260853900198162
ordinal,global,P46,0.07015306122448978
ordinal,global,P48,-0.027918781725888298
ordinal,global,P8,0.003539150907571953
ordinal,global,P9,0.042397660818713434
catboost,previous_late_geometric,P12,-0.061890797374668294
catboost,previous_late_geometric,P13,-0.015264988745651686
catboost,previous_late_geometric,P18,0.030785562632696384
catboost,previous_late_geometric,P19,-0.06450471698113197
catboost,previous_late_geometric,P2,-0.04963051510541189
catboost,previous_late_geometric,P20,0.03463514454893768
catboost,previous_late_geometric,P21,-0.022876101908359925
catboost,previous_late_geometric,P22,-0.08012949769234212
catboost,previous_late_geometric,P24,-0.1094233095846216
catboost,previous_late_geometric,P26,-0.08190476190476181
catboost,previous_late_geometric,P27,-0.15075408462505246
catboost,previous_late_geometric,P3,-0.03312629399585926
catboost,previous_late_geometric,P30,-0.042201749488181645
catboost,previous_late_geometric,P33,0.06257883270267167
catboost,previous_late_geometric,P34,0.08864241348713403
catboost,previous_late_geometric,P35,-0.0018518518518518823
catboost,previous_late_geometric,P36,0.049454693119851456
catboost,previous_late_geometric,P4,0.07625272331154687
catboost,previous_late_geometric,P40,0.04884622181827358
catboost,previous_late_geometric,P43,0.025994320111967173
catboost,previous_late_geometric,P44,-0.0829630296843411
catboost,previous_late_geometric,P46,0.09948979591836743
catboost,previous_late_geometric,P48,0.01692047377326572
catboost,previous_late_geometric,P8,0.06976911976911976
catboost,previous_late_geometric,P9,-0.04668615984405455
catboost,previous_fixed_logistic,P12,0.0009914816366429768
catboost,previous_fixed_logistic,P13,0.01770002046245145
catboost,previous_fixed_logistic,P18,0.009554140127388588
catboost,previous_fixed_logistic,P19,-0.0685665618448637
catboost,previous_fixed_logistic,P2,-0.01692023473158011
catboost,previous_fixed_logistic,P20,0.014414464845499297
catboost,previous_fixed_logistic,P21,-0.06965513900997766
catboost,previous_fixed_logistic,P22,-0.018438858269480607
catboost,previous_fixed_logistic,P24,-0.012916162566653233
catboost,previous_fixed_logistic,P26,-0.0323809523809524
catboost,previous_fixed_logistic,P27,-0.09034352744030166
