fold,inner,candidate_id,base_id,panel,context,family,weighting,smoothing,low_bias,high_bias,score
1,1,eye_pupil__1__catboost__global__1__0.3__0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,1,0.3,0.3,0.3361770624635482
1,1,eye_pupil__1__catboost__global__4__-0.3__-0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,4,-0.3,-0.3,0.3368294772138892
1,1,eye_pupil__1__catboost__global__4__-0.3__0.0,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,4,-0.3,0.0,0.3468865261297669
1,1,eye_pupil__1__catboost__global__4__-0.3__0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,4,-0.3,0.3,0.3332111545275736
1,1,eye_pupil__1__catboost__global__4__0.0__-0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,4,0.0,-0.3,0.33911125798248287
1,1,eye_pupil__1__catboost__global__4__0.0__0.0,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,4,0.0,0.0,0.34541234518072994
1,1,eye_pupil__1__catboost__global__4__0.0__0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,4,0.0,0.3,0.33838963617664347
1,1,eye_pupil__1__catboost__global__4__0.3__-0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,4,0.3,-0.3,0.3474944328873326
1,1,eye_pupil__1__catboost__global__4__0.3__0.0,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,4,0.3,0.0,0.3456606290034777
1,1,eye_pupil__1__catboost__global__4__0.3__0.3,eye_pupil__1__catboost__global,eye_pupil,1,catboost,global,4,0.3,0.3,0.3358645529523699
1,1,eye_pupil__1__catboost__participant__1__-0.3__-0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,1,-0.3,-0.3,0.3426733960128313
1,1,eye_pupil__1__catboost__participant__1__-0.3__0.0,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,1,-0.3,0.0,0.3426915407280745
1,1,eye_pupil__1__catboost__participant__1__-0.3__0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,1,-0.3,0.3,0.3353730333904555
1,1,eye_pupil__1__catboost__participant__1__0.0__-0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,1,0.0,-0.3,0.3412821360610449
1,1,eye_pupil__1__catboost__participant__1__0.0__0.0,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,1,0.0,0.0,0.3358332189392865
1,1,eye_pupil__1__catboost__participant__1__0.0__0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,1,0.0,0.3,0.33619200224011486
1,1,eye_pupil__1__catboost__participant__1__0.3__-0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,1,0.3,-0.3,0.33910957412921605
1,1,eye_pupil__1__catboost__participant__1__0.3__0.0,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,1,0.3,0.0,0.33728527676498005
1,1,eye_pupil__1__catboost__participant__1__0.3__0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,1,0.3,0.3,0.3323464759708823
1,1,eye_pupil__1__catboost__participant__4__-0.3__-0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,4,-0.3,-0.3,0.3362812497181835
1,1,eye_pupil__1__catboost__participant__4__-0.3__0.0,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,4,-0.3,0.0,0.33654504065795676
1,1,eye_pupil__1__catboost__participant__4__-0.3__0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,4,-0.3,0.3,0.3338224922075853
1,1,eye_pupil__1__catboost__participant__4__0.0__-0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,4,0.0,-0.3,0.34806462601512417
1,1,eye_pupil__1__catboost__participant__4__0.0__0.0,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,4,0.0,0.0,0.33656413423095616
1,1,eye_pupil__1__catboost__participant__4__0.0__0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,4,0.0,0.3,0.3341103929156541
1,1,eye_pupil__1__catboost__participant__4__0.3__-0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,4,0.3,-0.3,0.3409521653314782
1,1,eye_pupil__1__catboost__participant__4__0.3__0.0,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,4,0.3,0.0,0.33863008191409216
1,1,eye_pupil__1__catboost__participant__4__0.3__0.3,eye_pupil__1__catboost__participant,eye_pupil,1,catboost,participant,4,0.3,0.3,0.33132065704225006
1,1,eye_pupil__8__logistic__global__1__-0.3__-0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,1,-0.3,-0.3,0.32597268120033485
1,1,eye_pupil__8__logistic__global__1__-0.3__0.0,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,1,-0.3,0.0,0.3301074151238579
1,1,eye_pupil__8__logistic__global__1__-0.3__0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,1,-0.3,0.3,0.3316024945869802
1,1,eye_pupil__8__logistic__global__1__0.0__-0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,1,0.0,-0.3,0.34010563026500035
1,1,eye_pupil__8__logistic__global__1__0.0__0.0,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,1,0.0,0.0,0.3328524299136955
1,1,eye_pupil__8__logistic__global__1__0.0__0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,1,0.0,0.3,0.3202186026704642
1,1,eye_pupil__8__logistic__global__1__0.3__-0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,1,0.3,-0.3,0.33221920081395645
1,1,eye_pupil__8__logistic__global__1__0.3__0.0,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,1,0.3,0.0,0.32138603001249405
1,1,eye_pupil__8__logistic__global__1__0.3__0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,1,0.3,0.3,0.31551850764232825
1,1,eye_pupil__8__logistic__global__4__-0.3__-0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,4,-0.3,-0.3,0.32356649244655683
1,1,eye_pupil__8__logistic__global__4__-0.3__0.0,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,4,-0.3,0.0,0.32666921708068075
1,1,eye_pupil__8__logistic__global__4__-0.3__0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,4,-0.3,0.3,0.331603407579098
1,1,eye_pupil__8__logistic__global__4__0.0__-0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,4,0.0,-0.3,0.3430190541110585
1,1,eye_pupil__8__logistic__global__4__0.0__0.0,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,4,0.0,0.0,0.3325154277089783
1,1,eye_pupil__8__logistic__global__4__0.0__0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,4,0.0,0.3,0.3214130159052356
1,1,eye_pupil__8__logistic__global__4__0.3__-0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,4,0.3,-0.3,0.3396285260071812
1,1,eye_pupil__8__logistic__global__4__0.3__0.0,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,4,0.3,0.0,0.33213321516348626
1,1,eye_pupil__8__logistic__global__4__0.3__0.3,eye_pupil__8__logistic__global,eye_pupil,8,logistic,global,4,0.3,0.3,0.30865063938979215
1,1,eye_pupil__8__logistic__participant__1__-0.3__-0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,1,-0.3,-0.3,0.32730415083949466
1,1,eye_pupil__8__logistic__participant__1__-0.3__0.0,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,1,-0.3,0.0,0.3250931026861768
1,1,eye_pupil__8__logistic__participant__1__-0.3__0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,1,-0.3,0.3,0.3197904944630327
1,1,eye_pupil__8__logistic__participant__1__0.0__-0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,1,0.0,-0.3,0.3164827945373932
1,1,eye_pupil__8__logistic__participant__1__0.0__0.0,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,1,0.0,0.0,0.3134086154361532
1,1,eye_pupil__8__logistic__participant__1__0.0__0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,1,0.0,0.3,0.3113392695182662
