task,scope,reference,participant,delta
arousal,early,fixed_logistic,P36,-0.033449356073790515
arousal,early,fixed_logistic,P4,-0.10893246187363836
arousal,early,fixed_logistic,P40,-0.004014239188063318
arousal,early,fixed_logistic,P43,0.03924286277227451
arousal,early,fixed_logistic,P44,0.020376708901299
arousal,early,fixed_logistic,P46,0.022959183673469385
arousal,early,fixed_logistic,P48,-0.010152284263959421
arousal,early,fixed_logistic,P8,-0.022169059011164227
arousal,early,fixed_logistic,P9,-0.03151014791881668
arousal,early,previous_pupil_logistic,P12,0.03435274403016347
arousal,early,previous_pupil_logistic,P13,-0.06306527521997135
arousal,early,previous_pupil_logistic,P18,0.00424628450106157
arousal,early,previous_pupil_logistic,P19,-0.0016771488469601303
arousal,early,previous_pupil_logistic,P2,0.020082590741143214
arousal,early,previous_pupil_logistic,P20,-0.03164029457132905
arousal,early,previous_pupil_logistic,P21,-0.030785624334011497
arousal,early,previous_pupil_logistic,P22,0.011952771429851738
arousal,early,previous_pupil_logistic,P24,0.02253887171214769
arousal,early,previous_pupil_logistic,P26,-0.01714285714285707
arousal,early,previous_pupil_logistic,P27,0.06702974444909926
arousal,early,previous_pupil_logistic,P3,0.08488612836438925
arousal,early,previous_pupil_logistic,P30,-0.010473241629020524
arousal,early,previous_pupil_logistic,P33,0.006042884990253405
arousal,early,previous_pupil_logistic,P34,0.09086069210292819
arousal,early,previous_pupil_logistic,P35,-0.04444444444444434
arousal,early,previous_pupil_logistic,P36,-0.06481030281935257
arousal,early,previous_pupil_logistic,P4,-0.10457516339869277
arousal,early,previous_pupil_logistic,P40,-0.03530763210381477
arousal,early,previous_pupil_logistic,P43,0.044175397116573534
arousal,early,previous_pupil_logistic,P44,0.05918853459837059
arousal,early,previous_pupil_logistic,P46,0.11479591836734698
arousal,early,previous_pupil_logistic,P48,0.006768189509306244
arousal,early,previous_pupil_logistic,P8,-0.00779980253664464
arousal,early,previous_pupil_logistic,P9,-0.010216718266253977
attention,late_weighted,early,P12,0.03463203463203468
attention,late_weighted,early,P13,0.012896459995907494
attention,late_weighted,early,P18,0.010615711252653925
attention,late_weighted,early,P19,0.009506027253668836
attention,late_weighted,early,P2,0.04677244077374476
attention,late_weighted,early,P20,0.07049248644076234
attention,late_weighted,early,P21,0.01063644289450738
attention,late_weighted,early,P22,-0.026812519603889473
attention,late_weighted,early,P24,0.01462450150109773
