model_id,task,fold,scope,seed,participant,score
attention__fold3__fixed_logistic__20260910,attention,3,fixed_logistic,20260910,P46,0.31632653061224486
attention__fold3__fixed_logistic__20260910,attention,3,fixed_logistic,20260910,P8,0.3215918584339637
attention__fold3__fixed_logistic__20260911,attention,3,fixed_logistic,20260911,P18,0.3524416135881104
attention__fold3__fixed_logistic__20260911,attention,3,fixed_logistic,20260911,P27,0.4062002513615417
attention__fold3__fixed_logistic__20260911,attention,3,fixed_logistic,20260911,P36,0.33353057199211045
attention__fold3__fixed_logistic__20260911,attention,3,fixed_logistic,20260911,P46,0.31632653061224486
attention__fold3__fixed_logistic__20260911,attention,3,fixed_logistic,20260911,P8,0.3215918584339637
attention__fold4__early__20260910,attention,4,early,20260910,P20,0.3277479225755088
attention__fold4__early__20260910,attention,4,early,20260910,P3,0.2877846790890269
attention__fold4__early__20260910,attention,4,early,20260910,P33,0.3764705882352941
attention__fold4__early__20260910,attention,4,early,20260910,P4,0.35729847494553374
attention__fold4__early__20260910,attention,4,early,20260910,P9,0.2975576195390437
attention__fold4__early__20260911,attention,4,early,20260911,P20,0.3277479225755088
attention__fold4__early__20260911,attention,4,early,20260911,P3,0.2877846790890269
attention__fold4__early__20260911,attention,4,early,20260911,P33,0.3764705882352941
attention__fold4__early__20260911,attention,4,early,20260911,P4,0.35729847494553374
attention__fold4__early__20260911,attention,4,early,20260911,P9,0.2975576195390437
attention__fold4__late_mean__20260910,attention,4,late_mean,20260910,P20,0.401117082151565
attention__fold4__late_mean__20260910,attention,4,late_mean,20260910,P3,0.31262939958592134
attention__fold4__late_mean__20260910,attention,4,late_mean,20260910,P33,0.3549134273592478
attention__fold4__late_mean__20260910,attention,4,late_mean,20260910,P4,0.3115468409586057
attention__fold4__late_mean__20260910,attention,4,late_mean,20260910,P9,0.3310285517715858
attention__fold4__late_mean__20260911,attention,4,late_mean,20260911,P20,0.39536373588097723
attention__fold4__late_mean__20260911,attention,4,late_mean,20260911,P3,0.33126293995859213
attention__fold4__late_mean__20260911,attention,4,late_mean,20260911,P33,0.3432289875014333
attention__fold4__late_mean__20260911,attention,4,late_mean,20260911,P4,0.32679738562091504
attention__fold4__late_mean__20260911,attention,4,late_mean,20260911,P9,0.33296640293544316
attention__fold4__late_geometric__20260910,attention,4,late_geometric,20260910,P20,0.3996803005423695
attention__fold4__late_geometric__20260910,attention,4,late_geometric,20260910,P3,0.3064182194616977
attention__fold4__late_geometric__20260910,attention,4,late_geometric,20260910,P33,0.3529641096204564
attention__fold4__late_geometric__20260910,attention,4,late_geometric,20260910,P4,0.3115468409586057
attention__fold4__late_geometric__20260910,attention,4,late_geometric,20260910,P9,0.3310285517715858
attention__fold4__late_geometric__20260911,attention,4,late_geometric,20260911,P20,0.393933174105588
attention__fold4__late_geometric__20260911,attention,4,late_geometric,20260911,P3,0.33126293995859213
attention__fold4__late_geometric__20260911,attention,4,late_geometric,20260911,P33,0.3412796697626419
attention__fold4__late_geometric__20260911,attention,4,late_geometric,20260911,P4,0.32897603485838783
attention__fold4__late_geometric__20260911,attention,4,late_geometric,20260911,P9,0.33492718724916865
attention__fold4__late_weighted__20260910,attention,4,late_weighted,20260910,P20,0.401117082151565
attention__fold4__late_weighted__20260910,attention,4,late_weighted,20260910,P3,0.31262939958592134
attention__fold4__late_weighted__20260910,attention,4,late_weighted,20260910,P33,0.3549134273592478
attention__fold4__late_weighted__20260910,attention,4,late_weighted,20260910,P4,0.3115468409586057
attention__fold4__late_weighted__20260910,attention,4,late_weighted,20260910,P9,0.3310285517715858
attention__fold4__late_weighted__20260911,attention,4,late_weighted,20260911,P20,0.39536373588097723
