fold,inner,base_id,family,smoothing,low,high,candidate_id,score
1,1,relative_rbf,rbf,16,-0.03,0.03,relative_rbf_w16_l-0.03_h0.03,0.32082859926227836
1,1,relative_rbf,rbf,16,-0.03,0.1,relative_rbf_w16_l-0.03_h0.1,0.314425009971466
1,1,relative_rbf,rbf,16,-0.03,0.3,relative_rbf_w16_l-0.03_h0.3,0.31239038703964167
1,1,relative_hgb,hgb,1,-0.3,0.03,relative_hgb_w1_l-0.3_h0.03,0.31879590405724445
1,1,relative_hgb,hgb,1,-0.3,0.1,relative_hgb_w1_l-0.3_h0.1,0.30783063249353887
1,1,relative_hgb,hgb,1,-0.3,0.3,relative_hgb_w1_l-0.3_h0.3,0.2948976269405887
1,1,relative_hgb,hgb,1,-0.1,0.03,relative_hgb_w1_l-0.1_h0.03,0.3450201208438157
1,1,relative_hgb,hgb,1,-0.1,0.1,relative_hgb_w1_l-0.1_h0.1,0.3340548492801101
1,1,relative_hgb,hgb,1,-0.1,0.3,relative_hgb_w1_l-0.1_h0.3,0.32112184372715996
1,1,relative_hgb,hgb,1,-0.03,0.03,relative_hgb_w1_l-0.03_h0.03,0.35537167387093
1,1,relative_hgb,hgb,1,-0.03,0.1,relative_hgb_w1_l-0.03_h0.1,0.34440640230722436
1,1,relative_hgb,hgb,1,-0.03,0.3,relative_hgb_w1_l-0.03_h0.3,0.3314733967542742
1,1,relative_hgb,hgb,16,-0.3,0.03,relative_hgb_w16_l-0.3_h0.03,0.30093908979613404
1,1,relative_hgb,hgb,16,-0.3,0.1,relative_hgb_w16_l-0.3_h0.1,0.29422206269905066
1,1,relative_hgb,hgb,16,-0.3,0.3,relative_hgb_w16_l-0.3_h0.3,0.28678381290404364
1,1,relative_hgb,hgb,16,-0.1,0.03,relative_hgb_w16_l-0.1_h0.03,0.32118101098066154
1,1,relative_hgb,hgb,16,-0.1,0.1,relative_hgb_w16_l-0.1_h0.1,0.3144639838835781
1,1,relative_hgb,hgb,16,-0.1,0.3,relative_hgb_w16_l-0.1_h0.3,0.3070257340885711
1,1,relative_hgb,hgb,16,-0.03,0.03,relative_hgb_w16_l-0.03_h0.03,0.31765855996117737
1,1,relative_hgb,hgb,16,-0.03,0.1,relative_hgb_w16_l-0.03_h0.1,0.310941532864094
1,1,relative_hgb,hgb,16,-0.03,0.3,relative_hgb_w16_l-0.03_h0.3,0.30350328306908697
1,1,relative_trees,trees,1,-0.3,0.03,relative_trees_w1_l-0.3_h0.03,0.31618455335058354
