fold,inner,candidate_id,family,window,score,alpha,shrink,temperature
2,3,hmm_0.01_0.25,hmm,,0.38137782715162943,,0.01,0.25
2,3,hmm_0.01_1.0,hmm,,0.39067015613186024,,0.01,1.0
2,3,hmm_0.01_4.0,hmm,,0.4067459633771484,,0.01,4.0
2,3,hmm_0.1_0.25,hmm,,0.3792951841279771,,0.1,0.25
2,3,hmm_0.1_1.0,hmm,,0.39040346705041257,,0.1,1.0
2,3,hmm_0.1_4.0,hmm,,0.40637151911824765,,0.1,4.0
2,3,hmm_0.5_0.25,hmm,,0.3781285260697218,,0.5,0.25
2,3,hmm_0.5_1.0,hmm,,0.38565802196921184,,0.5,1.0
2,3,hmm_0.5_4.0,hmm,,0.3988453377162533,,0.5,4.0
3,1,mean_1,mean,1.0,0.3444914314936603,,,
3,1,mean_4,mean,4.0,0.33843671821743293,,,
3,1,mean_16,mean,16.0,0.3277647851953943,,,
3,1,mean_64,mean,64.0,0.3163419982737429,,,
3,1,ema_0.02,ema,,0.314940040887638,0.02,,
3,1,ema_0.1,ema,,0.32504095837333025,0.1,,
3,1,ema_0.3,ema,,0.34132149385332394,0.3,,
3,1,hmm_0.01_0.25,hmm,,0.33095785981649206,,0.01,0.25
3,1,hmm_0.01_1.0,hmm,,0.32962475940175645,,0.01,1.0
3,1,hmm_0.01_4.0,hmm,,0.32952040759152007,,0.01,4.0
3,1,hmm_0.1_0.25,hmm,,0.3346960414263761,,0.1,0.25
3,1,hmm_0.1_1.0,hmm,,0.33593158814903423,,0.1,1.0
3,1,hmm_0.1_4.0,hmm,,0.33268107354822113,,0.1,4.0
3,1,hmm_0.5_0.25,hmm,,0.3369976226613041,,0.5,0.25
3,1,hmm_0.5_1.0,hmm,,0.33909117976610426,,0.5,1.0
3,1,hmm_0.5_4.0,hmm,,0.3416670935061654,,0.5,4.0
3,2,mean_1,mean,1.0,0.33342630268864293,,,
3,2,mean_4,mean,4.0,0.33306713726437664,,,
3,2,mean_16,mean,16.0,0.32347969746234495,,,
3,2,mean_64,mean,64.0,0.3200758898072073,,,
3,2,ema_0.02,ema,,0.31079318753703367,0.02,,
3,2,ema_0.1,ema,,0.3234906386181408,0.1,,
3,2,ema_0.3,ema,,0.3311544236109637,0.3,,
3,2,hmm_0.01_0.25,hmm,,0.3353296177594088,,0.01,0.25
3,2,hmm_0.01_1.0,hmm,,0.31968240586465113,,0.01,1.0
3,2,hmm_0.01_4.0,hmm,,0.3186607254241605,,0.01,4.0
3,2,hmm_0.1_0.25,hmm,,0.3332641403989722,,0.1,0.25
3,2,hmm_0.1_1.0,hmm,,0.3228411917150292,,0.1,1.0
3,2,hmm_0.1_4.0,hmm,,0.3231721884752574,,0.1,4.0
3,2,hmm_0.5_0.25,hmm,,0.33736453220353435,,0.5,0.25
3,2,hmm_0.5_1.0,hmm,,0.33075601246453573,,0.5,1.0
3,2,hmm_0.5_4.0,hmm,,0.3258027117029193,,0.5,4.0
3,3,mean_1,mean,1.0,0.3510028587395538,,,
3,3,mean_4,mean,4.0,0.34040956698209507,,,
3,3,mean_16,mean,16.0,0.3413685896741744,,,
3,3,mean_64,mean,64.0,0.3497871618317923,,,
