candidate_id,base_id,family,context,smoothing,mean,std,min,max
b02_ctx8_smooth4,b02_ctx8,svm_rbf,8,4,0.33892745752018116,0.0161894681504561,0.3152209504479848,0.3771315328360474
b03_ctx8_smooth4,b03_ctx8,svm_rbf,8,4,0.338846379101533,0.01584633653413121,0.3143663728381917,0.3712987834560301
b12_ctx8_smooth1,b12_ctx8,qda,8,1,0.33847248706407007,0.02954840367841664,0.2657924689000294,0.3887559400777656
b04_ctx8_smooth4,b04_ctx8,svm_rbf,8,4,0.3383582399829563,0.01862217386561861,0.3043763315586788,0.3688036587786216
b21_ctx1_smooth1,b21_ctx1,fusion_lda,1,1,0.3376756162312253,0.014917222370521637,0.3163405349440029,0.3631872665948961
b14_ctx1_smooth1,b14_ctx1,qda,1,1,0.33766109772217834,0.017168702174368142,0.3137571612911602,0.3715883217900279
b00_ctx1_smooth1,b00_ctx1,svm_rbf,1,1,0.3375338543014562,0.0137942076130917,0.3207788110075071,0.366075123999758
b14_ctx1_smooth4,b14_ctx1,qda,1,4,0.33729218005163136,0.021566341470145124,0.3104953828618903,0.3804124104847194
b03_ctx1_smooth4,b03_ctx1,svm_rbf,1,4,0.3371385920039536,0.015785352188211713,0.3158787162025099,0.3643473324679095
b21_ctx1_smooth4,b21_ctx1,fusion_lda,1,4,0.33701910364229715,0.015332051155144468,0.3149558047638345,0.362780683152892
b00_ctx8_smooth4,b00_ctx8,svm_rbf,8,4,0.3369284844592188,0.019792333732468737,0.3072071258478029,0.3736296485069925
b21_ctx8_smooth1,b21_ctx8,fusion_lda,8,1,0.33689606494668445,0.013930954486173921,0.3171330239107076,0.3597732441643397
b04_ctx1_smooth4,b04_ctx1,svm_rbf,1,4,0.33687717225401226,0.014312207204311254,0.3189508706920451,0.3701805289376031
b20_ctx8_smooth4,b20_ctx8,fusion_lda,8,4,0.3368757281756232,0.017246375945357075,0.3054152539282035,0.3662836727162387
b04_ctx1_smooth1,b04_ctx1,svm_rbf,1,1,0.3368631941799386,0.011250904849863342,0.3193002553747512,0.3574708441348761
b12_ctx8_smooth4,b12_ctx8,qda,8,4,0.33680886387259334,0.02998248392310799,0.2626791718726672,0.3846329357798144
b02_ctx1_smooth1,b02_ctx1,svm_rbf,1,1,0.33678973662705836,0.010904749526772664,0.320934419315245,0.3543302800818327
b01_ctx8_smooth1,b01_ctx8,svm_rbf,8,1,0.33678281989491154,0.017567395029749612,0.3038902337429778,0.3650260820107695
b06_ctx1_smooth1,b06_ctx1,hgb,1,1,0.336690560009952,0.017673533437398147,0.3118123072299992,0.374733987589294
b01_ctx1_smooth1,b01_ctx1,svm_rbf,1,1,0.3360448284593135,0.012108740911153576,0.3159231872252311,0.3591439205018931
b07_ctx8_smooth4,b07_ctx8,hgb,8,4,0.3359340042278138,0.020687327541343205,0.2966584089651993,0.3683090631287831
b02_ctx1_smooth4,b02_ctx1,svm_rbf,1,4,0.3352421204151791,0.011868703652211068,0.3156119862497126,0.3543841081137406
b01_ctx1_smooth4,b01_ctx1,svm_rbf,1,4,0.33498146687213903,0.012619351445719145,0.3172806809401002,0.353064251028132
b03_ctx1_smooth1,b03_ctx1,svm_rbf,1,1,0.33480591492818856,0.011666932069378053,0.3106067346451459,0.3523444769000955
b00_ctx1_smooth4,b00_ctx1,svm_rbf,1,4,0.3345647553137654,0.01348872389944524,0.3153410872913976,0.3613289297838304
b01_ctx8_smooth4,b01_ctx8,svm_rbf,8,4,0.33237330558297684,0.014926599931607491,0.3140596825879505,0.360130620267927
b05_ctx1_smooth4,b05_ctx1,svm_rbf,1,4,0.3317869583526966,0.014409533921857945,0.2985735859784002,0.3547898896958528
b21_ctx8_smooth4,b21_ctx8,fusion_lda,8,4,0.33155854964488213,0.014872311229072588,0.3098610112705684,0.3569584689324309
b05_ctx1_smooth1,b05_ctx1,svm_rbf,1,1,0.33031055289472255,0.010018176336167564,0.3127568377408167,0.3466071676465426
