scope,reference,participant,delta
fusion,previous_late_geometric,P43,-0.03310776840188612
fusion,previous_late_geometric,P44,-0.05504513701235009
fusion,previous_late_geometric,P46,0.01913265306122458
fusion,previous_late_geometric,P48,0.010152284263959366
fusion,previous_late_geometric,P8,0.0428951165793271
fusion,previous_late_geometric,P9,-0.017589725948859047
fusion,previous_fixed_logistic,P12,0.08441558441558444
fusion,previous_fixed_logistic,P13,0.014722733783507302
fusion,previous_fixed_logistic,P18,-0.046709129511677216
fusion,previous_fixed_logistic,P19,0.03151205450733752
fusion,previous_fixed_logistic,P2,0.03730348474969214
fusion,previous_fixed_logistic,P20,-0.03435836194456887
fusion,previous_fixed_logistic,P21,-0.02514772837353485
fusion,previous_fixed_logistic,P22,-0.015537482636555022
fusion,previous_fixed_logistic,P24,0.0018931756060401872
fusion,previous_fixed_logistic,P26,0.022857142857142854
fusion,previous_fixed_logistic,P27,0.05636084345761766
fusion,previous_fixed_logistic,P3,0.0331262939958592
fusion,previous_fixed_logistic,P30,-0.0016496624536825322
fusion,previous_fixed_logistic,P33,-0.01565187478500174
fusion,previous_fixed_logistic,P34,0.024800354924578494
fusion,previous_fixed_logistic,P35,-0.07222222222222219
fusion,previous_fixed_logistic,P36,-0.0332405151409676
fusion,previous_fixed_logistic,P4,-0.052287581699346386
fusion,previous_fixed_logistic,P40,-0.03884218233229825
fusion,previous_fixed_logistic,P43,0.007500713383066293
fusion,previous_fixed_logistic,P44,0.003652995456274122
fusion,previous_fixed_logistic,P46,0.03443877551020408
fusion,previous_fixed_logistic,P48,0.0
fusion,previous_fixed_logistic,P8,-0.011187058555479579
fusion,previous_fixed_logistic,P9,-0.03323013415892673
