task,kind,subset,architecture,seed,split,reference_scope,baseline,baseline_subset,participant,gain
attention_primary,classification,full,MLP_current,20260908,validation,full,logistic,full,P38,-0.040895497417236526
attention_primary,classification,full,MLP_current,20260908,validation,full,logistic,full,P41,0.021499726327312507
attention_primary,classification,full,MLP_current,20260908,validation,full,logistic,full,P47,0.01726427622841964
attention_primary,classification,full,MLP_current,20260908,validation,full,logistic,full,P6,0.03129465748934779
attention_primary,classification,full,MLP_current,20260908,test,matched,logistic,full,P10,0.019431017483106106
attention_primary,classification,full,MLP_current,20260908,test,matched,logistic,full,P11,-0.018633540372670843
attention_primary,classification,full,MLP_current,20260908,test,matched,logistic,full,P15,0.026846781063648573
attention_primary,classification,full,MLP_current,20260908,test,matched,logistic,full,P16,-0.036809815950920255
attention_primary,classification,full,MLP_current,20260908,test,matched,logistic,full,P37,0.03030303030303033
attention_primary,classification,full,MLP_current,20260908,test,matched,logistic,full,P39,0.006250000000000033
attention_primary,classification,full,MLP_current,20260908,test,matched,logistic,full,P45,-0.013100742608939342
attention_primary,classification,full,MLP_current,20260908,test,matched,logistic,full,P5,0.02777777777777779
attention_primary,classification,full,MLP_current,20260908,test,full,logistic,full,P10,0.019431017483106106
attention_primary,classification,full,MLP_current,20260908,test,full,logistic,full,P11,-0.018633540372670843
attention_primary,classification,full,MLP_current,20260908,test,full,logistic,full,P15,0.026846781063648573
attention_primary,classification,full,MLP_current,20260908,test,full,logistic,full,P16,-0.036809815950920255
attention_primary,classification,full,MLP_current,20260908,test,full,logistic,full,P37,0.03030303030303033
attention_primary,classification,full,MLP_current,20260908,test,full,logistic,full,P39,0.006250000000000033
attention_primary,classification,full,MLP_current,20260908,test,full,logistic,full,P45,-0.013100742608939342
attention_primary,classification,full,MLP_current,20260908,test,full,logistic,full,P5,0.02777777777777779
attention_primary,regression,full,TCN,20260907,validation,matched,ridge,full,P23,-0.02272295558857529
attention_primary,regression,full,TCN,20260907,validation,matched,ridge,full,P28,-0.006003041967830192
attention_primary,regression,full,TCN,20260907,validation,matched,ridge,full,P31,-0.007638227495037286
attention_primary,regression,full,TCN,20260907,validation,matched,ridge,full,P32,0.01796951091258603
attention_primary,regression,full,TCN,20260907,validation,matched,ridge,full,P38,-0.00043521292466386363
attention_primary,regression,full,TCN,20260907,validation,matched,ridge,full,P41,-0.00045748937890377483
attention_primary,regression,full,TCN,20260907,validation,matched,ridge,full,P47,-0.004674758392413825
attention_primary,regression,full,TCN,20260907,validation,matched,ridge,full,P6,0.008789405827028252
attention_primary,regression,full,TCN,20260907,validation,full,ridge,full,P23,-0.02272295558857529
attention_primary,regression,full,TCN,20260907,validation,full,ridge,full,P28,-0.006003041967830192
attention_primary,regression,full,TCN,20260907,validation,full,ridge,full,P31,-0.007638227495037286
attention_primary,regression,full,TCN,20260907,validation,full,ridge,full,P32,0.01796951091258603
attention_primary,regression,full,TCN,20260907,validation,full,ridge,full,P38,-0.00043521292466386363
attention_primary,regression,full,TCN,20260907,validation,full,ridge,full,P41,-0.00045748937890377483
attention_primary,regression,full,TCN,20260907,validation,full,ridge,full,P47,-0.004674758392413825
attention_primary,regression,full,TCN,20260907,validation,full,ridge,full,P6,0.008789405827028252
attention_primary,regression,full,TCN,20260907,test,matched,ridge,full,P10,0.003391000091492291
attention_primary,regression,full,TCN,20260907,test,matched,ridge,full,P11,-0.01101099665853078
attention_primary,regression,full,TCN,20260907,test,matched,ridge,full,P15,0.004941957346651038
attention_primary,regression,full,TCN,20260907,test,matched,ridge,full,P16,-0.006888133721372203
attention_primary,regression,full,TCN,20260907,test,matched,ridge,full,P37,-0.007079216771330943
attention_primary,regression,full,TCN,20260907,test,matched,ridge,full,P39,-0.0017097989440346684
attention_primary,regression,full,TCN,20260907,test,matched,ridge,full,P45,-0.013481312098527987
attention_primary,regression,full,TCN,20260907,test,matched,ridge,full,P5,0.009763853933044686
attention_primary,regression,full,TCN,20260907,test,full,ridge,full,P10,0.003391000091492291
attention_primary,regression,full,TCN,20260907,test,full,ridge,full,P11,-0.01101099665853078
attention_primary,regression,full,TCN,20260907,test,full,ridge,full,P15,0.004941957346651038
attention_primary,regression,full,TCN,20260907,test,full,ridge,full,P16,-0.006888133721372203
attention_primary,regression,full,TCN,20260907,test,full,ridge,full,P37,-0.007079216771330943
attention_primary,regression,full,TCN,20260907,test,full,ridge,full,P39,-0.0017097989440346684
attention_primary,regression,full,TCN,20260907,test,full,ridge,full,P45,-0.013481312098527987
attention_primary,regression,full,TCN,20260907,test,full,ridge,full,P5,0.009763853933044686
