task,kind,subset,architecture,seed,split,feature,baseline,temporal_importance,temporal_low,temporal_high,baseline_importance,differential_importance,differential_low,differential_high,positive_participants,participants,gain_before,gain_after,repeats
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,saccade_count,ridge,-0.0007649127667140764,-0.00446600577843524,0.0017199587716276948,0.0004968690859814494,-0.0012617818526955257,-0.005823207972217281,0.0016614466320982629,5,8,-0.00036338747331014776,0.000898394379385378,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,saccade_mean_ms,ridge,0.0018366452484496754,0.0007636855989559179,0.0030212259588451498,-4.0762248201883797e-05,0.0018774074966515593,0.0006699901951174111,0.003133140914942284,7,8,-0.00036338747331014776,-0.0022407949699617077,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,pupil_both_valid_fraction,ridge,-0.00010599905501604554,-0.0010592912098534692,0.0010026548880821703,-7.472402593143025e-05,-3.1275029084615265e-05,-0.0008126181476026704,0.0008793424290743784,3,8,-0.00036338747331014776,-0.0003321124442255323,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,pupil_mean_z,ridge,0.0009327002472655943,-0.0004594982704838917,0.00280260237765589,-0.00018425376104448947,0.0011169540083100836,-0.0020507644793047912,0.0052001989945520835,3,8,-0.00036338747331014776,-0.0014803414816202311,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,pupil_std_z,ridge,-0.00025671776541250633,-0.002652334835931117,0.0020550235764356245,0.0045574823064050245,-0.004814200071817531,-0.010739720604355308,0.001241612773834006,2,8,-0.00036338747331014776,0.0044508125985073844,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,pupil_min_z,ridge,0.0002870248163144349,-0.002438188358248228,0.00319193994025472,0.0019482223131477847,-0.0016611974968333497,-0.004053701524862153,0.0008933242819583234,3,8,-0.00036338747331014776,0.001297810023523202,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,pupil_max_z,ridge,-3.632920083378181e-05,-0.0011673479485487953,0.0010514969399441191,0.012298679568013764,-0.012335008768847546,-0.018182847461513562,-0.006122288742392917,1,8,-0.00036338747331014776,0.011971621295537398,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,pupil_slope_z_s,ridge,0.00022248686638037815,-0.0017410154372040126,0.001977829877292772,-1.2605372090962458e-05,0.00023509223847134044,-0.001679703949414498,0.0020030640620890957,4,8,-0.00036338747331014776,-0.0005984797117814873,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,modalidad:EEG,ridge,-0.00231897108931218,-0.0042240707574972445,-0.00030321664318526024,-0.0004581890910926312,-0.001860781998219549,-0.005876255149195233,0.0013725803394189148,4,8,-0.00036338747331014776,0.001497394524909401,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,modalidad:Eye,ridge,0.0072991230123201885,0.002966667443472365,0.012390331925868062,0.0009231279635407181,0.006375995048779471,0.0030507862251550636,0.010808154752365037,8,8,-0.00036338747331014776,-0.006739382522089618,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,modalidad:Pupil,ridge,0.0017254465702022854,-0.0021462829267758794,0.005594318883456094,0.0018712908156165496,-0.00014584424541426466,-0.003987500689793358,0.004629308265722599,3,8,-0.00036338747331014776,-0.00021754322789588332,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,eeg_rms_uv,ridge,0.0007886393830079221,-4.341399942316411e-05,0.00168623548915208,0.00024153966679102968,0.0005470997162168921,-0.0005085590968759336,0.0016217282725451776,6,8,-0.004634813666847218,-0.005181913383064108,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,eeg_std_uv,ridge,4.3286205969347906e-05,-0.000751661942285151,0.0007378130522018882,0.0010640003041444024,-0.0010207140981750543,-0.0028598157885125542,0.0005800963766503703,3,8,-0.004634813666847218,-0.003614099568672163,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,eeg_peak_to_peak_uv,ridge,0.00021047829255455838,-0.00032762535239973885,0.0006761897650714835,-6.004464772785546e-05,0.0002705229402824138,0.00011699252791074955,0.0004145618971157344,7,8,-0.004634813666847218,-0.004905336607129632,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,eeg_delta_relative,ridge,0.0005977098161516509,-0.0007286906285640944,0.0018679515791263305,0.0003899445542896203,0.0002077652618620306,-0.0026087864663665423,0.002990280776598139,5,8,-0.004634813666847218,-0.00484257892870925,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,eeg_theta_relative,ridge,0.001598299801058084,0.0004150270543333434,0.0034200417227303825,0.0036195237792229773,-0.002021223978164893,-0.005050023417625702,0.0006877674002969656,2,8,-0.004634813666847218,-0.002613589688682324,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,eeg_alpha_relative,ridge,-0.0012999311473088637,-0.0023527476894414866,-2.1581074645793004e-05,0.002386125408447809,-0.0036860565557566725,-0.0069153818420751734,-0.0005937343827312905,2,8,-0.004634813666847218,-0.0009487571110905445,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,eeg_beta_relative,ridge,0.0004470104030378674,-0.0016051814680596711,0.0033266475599076973,0.0019353897538054085,-0.0014883793507675408,-0.006501555730032062,0.0028535326447055,3,8,-0.004634813666847218,-0.0031464343160796746,5
