task,kind,subset,architecture,seed,split,feature,participant,temporal_importance,baseline_importance,differential_importance
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_max_z,P11,-0.02194616977225672,-0.02939958592132501,0.007453416149068293
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_max_z,P15,0.007910429597176583,-0.03831081903371063,0.04622124863088721
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_max_z,P16,0.01554192229038851,0.005725971370143157,0.009815950920245353
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_max_z,P37,-0.1483118477593616,-0.024401473296500942,-0.12391037446286066
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_max_z,P39,-0.007083333333333363,-0.017916666666666647,0.010833333333333283
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_max_z,P45,-0.03573129966572587,-0.015104385596188818,-0.020626914069537053
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_max_z,P5,-0.02264957264957257,0.007264957264957262,-0.02991452991452983
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_slope_z_s,P10,-0.004412861024938053,-0.0047976336483658896,0.0003847726234278365
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_slope_z_s,P11,-0.0024844720496894346,-0.0024844720496894233,-1.1275702593849246e-17
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_slope_z_s,P15,-0.0035487404162103053,-0.007294633077765622,0.003745892661555317
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_slope_z_s,P16,0.008588957055214674,0.002862985685071584,0.0057259713701430905
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_slope_z_s,P37,0.03406998158379371,0.06519337016574586,-0.031123388581952155
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_slope_z_s,P39,-0.016666666666666698,-0.021666666666666688,0.0049999999999999906
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_slope_z_s,P45,0.007265958085630209,-0.007666286354810948,0.014932244440441157
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_slope_z_s,P5,0.004700854700854728,-0.0017094017094017144,0.006410256410256443
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,modalidad:Pupil,P10,-0.02223745280523291,0.002024865930789055,-0.024262318736021964
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,modalidad:Pupil,P11,-0.0260869565217391,-0.0178053830227743,-0.0082815734989648
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,modalidad:Pupil,P15,0.01854204697578194,-0.03188268224412803,0.050424729219909974
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,modalidad:Pupil,P16,0.027402862985685027,0.008179959100204503,0.019222903885480522
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,modalidad:Pupil,P37,0.04966236955187231,0.1279619398403929,-0.07829957028852058
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,modalidad:Pupil,P39,-0.09083333333333335,-0.0054166666666666365,-0.08541666666666671
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,modalidad:Pupil,P45,0.01620528833643591,-0.014631998238555577,0.030837286574991483
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,modalidad:Pupil,P5,0.0692307692307693,0.01239316239316235,0.056837606837606955
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_rms_uv,P23,0.004830917874396168,0.00531400966183575,-0.000483091787439582
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_rms_uv,P28,0.004057077211439641,-0.0031803615696233576,0.007237438781062999
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_rms_uv,P31,-0.0003418803418803407,-0.004444444444444362,0.004102564102564021
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_rms_uv,P32,0.0,-0.00039215686274509667,0.00039215686274509667
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_rms_uv,P38,-0.01003199698851871,-0.002897505071418116,-0.007134491917100593
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_rms_uv,P41,-0.002298850574712663,-0.006896551724137945,0.004597701149425282
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_rms_uv,P47,-0.00047889251076492777,0.0020739227196417964,-0.002552815230406724
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_rms_uv,P6,-0.00060570304818095,0.0038203867584398533,-0.004426089806620803
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_std_uv,P23,0.0024154589371980562,0.007729468599033807,-0.005314009661835751
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_std_uv,P28,-0.007648588185500904,0.0026815406010036735,-0.010330128786504578
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_std_uv,P31,0.001025641025641022,0.001367521367521407,-0.00034188034188038503
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_std_uv,P32,0.00117647058823529,0.00039215686274509667,0.0007843137254901932
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_std_uv,P38,0.005535688144383821,0.008727021770500021,-0.0031913336261162
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_std_uv,P41,0.0,-0.0026666666666666284,0.0026666666666666284
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_std_uv,P47,0.0005312084993359889,-0.0014155562490524188,0.0019467647483884078
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_std_uv,P6,0.0008849557522123686,-1.44215011471438e-05,0.0008993772533595123
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_peak_to_peak_uv,P23,0.004347826086956519,0.0072463768115942125,-0.0028985507246376933
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_peak_to_peak_uv,P28,0.012567265251829041,0.006684200979502985,0.005883064272326056
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_peak_to_peak_uv,P31,0.0003418803418803407,-0.002051282051282044,0.0023931623931623845
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_peak_to_peak_uv,P32,0.0019607843137254832,-0.0027450980392156763,0.00470588235294116
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_peak_to_peak_uv,P38,0.014804358282619168,0.0031568270698705938,0.011647531212748575
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_peak_to_peak_uv,P41,-0.0019157088122605526,-0.006896551724137901,0.004980842911877348
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_peak_to_peak_uv,P47,-0.0008329682350579181,-0.00026560424966795006,-0.0005673639853899681
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_peak_to_peak_uv,P6,-0.004431333988856178,-0.0009019993444772223,-0.003529334644378956
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_delta_relative,P23,0.0009661835748792091,0.005314009661835739,-0.00434782608695653
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_delta_relative,P28,0.0008767156418163169,-0.0031894310417800776,0.004066146683596394
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_delta_relative,P31,-0.003076923076923055,-0.00615384615384611,0.003076923076923055
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_delta_relative,P32,0.005158371040723963,0.008270100939784208,-0.0031117298990602444
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_delta_relative,P38,0.0018570801179496944,-0.004523495827843671,0.006380575945793365
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_delta_relative,P41,0.009946360153256683,0.008407224958949133,0.0015391351943075497
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_delta_relative,P47,0.016511768819519056,-0.0019110774992906366,0.018422846318809694
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_delta_relative,P6,-0.0038426745329400826,-0.0006201245493280716,-0.003222549983612011
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_theta_relative,P23,0.004347826086956519,-0.0106280193236715,0.01497584541062802
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_theta_relative,P28,-0.0014148376564483978,-0.004976117056653984,0.003561279400205586
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_theta_relative,P31,-0.0075213675213674945,-0.014017094017093968,0.006495726495726473
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_theta_relative,P32,0.007875623622229933,0.020828402366863896,-0.012952778744633964
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_theta_relative,P38,0.009018759018759048,-0.0002865089821611377,0.009305268000920186
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_theta_relative,P41,0.013779967159277474,0.010261631089217316,0.0035183360700601577
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_theta_relative,P47,0.007923847460042354,0.0009662132867425566,0.006957634173299798
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_theta_relative,P6,-0.0038282530317929274,0.00028580793182563234,-0.00411406096361856
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_alpha_relative,P23,0.010144927536231873,0.004347826086956519,0.005797101449275354
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_alpha_relative,P28,-0.012147046375234272,0.005369127516778505,-0.01751617389201278
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_alpha_relative,P31,0.0013675213675213738,-0.007863247863247814,0.009230769230769188
