task,subset,kind,architecture,seed,epoch,train_loss,validation_macro_score
attention_primary,full,classification,LSTM,20260908,6,1.0936387815407766,0.335287644819945
attention_primary,full,classification,LSTM,20260908,7,1.0933015035193758,0.33624829440206366
attention_primary,full,classification,LSTM,20260908,8,1.0926121667587203,0.334084249646613
attention_primary,full,classification,LSTM,20260908,9,1.0906973927375727,0.321705858033791
attention_primary,full,classification,LSTM,20260908,10,1.0903723910517045,0.3273406491223216
attention_primary,full,classification,LSTM,20260908,11,1.088905037912664,0.32589565737948967
attention_primary,full,classification,BiLSTM,20260907,1,1.1007395710193417,0.33575309940378
attention_primary,full,classification,BiLSTM,20260907,2,1.0973459818559932,0.335918697906043
attention_primary,full,classification,BiLSTM,20260907,3,1.0957440253158746,0.3337033938270164
attention_primary,full,classification,BiLSTM,20260907,4,1.0940602696248676,0.3343032398369578
attention_primary,full,classification,BiLSTM,20260907,5,1.092984616139414,0.3344465272387004
attention_primary,full,classification,BiLSTM,20260907,6,1.0910072781495954,0.32639610320912643
attention_primary,full,classification,BiLSTM,20260907,7,1.0891380842110703,0.33347038200673584
attention_primary,full,classification,BiLSTM,20260907,8,1.0873851857922974,0.33067614912885573
attention_primary,full,classification,BiLSTM,20260908,1,1.1015603779618186,0.32988311837813766
attention_primary,full,classification,BiLSTM,20260908,2,1.0975223312854625,0.34164114821391073
attention_primary,full,classification,BiLSTM,20260908,3,1.0950501499638619,0.34262304558304807
attention_primary,full,classification,BiLSTM,20260908,4,1.0929515404448782,0.34533507356191584
attention_primary,full,classification,BiLSTM,20260908,5,1.0917445024559744,0.33601796523134486
attention_primary,full,classification,BiLSTM,20260908,6,1.0899665496716728,0.33335284123574055
attention_primary,full,classification,BiLSTM,20260908,7,1.089377476209298,0.3345591027447787
attention_primary,full,classification,BiLSTM,20260908,8,1.0870293047751804,0.3355635310375693
attention_primary,full,classification,BiLSTM,20260908,9,1.085848003969641,0.3429771594251487
attention_primary,full,classification,BiLSTM,20260908,10,1.0850828889557964,0.3378012009536657
attention_primary,full,classification,MLP_current,20260907,1,1.1019551219477592,0.3504623166311293
attention_primary,full,classification,MLP_current,20260907,2,1.0989277683324061,0.3464861094899707
attention_primary,full,classification,MLP_current,20260907,3,1.098330970242051,0.3412007691174673
attention_primary,full,classification,MLP_current,20260907,4,1.09816656815022,0.3401401744835268
attention_primary,full,classification,MLP_current,20260907,5,1.0977956924308725,0.34394335925449343
attention_primary,full,classification,MLP_current,20260907,6,1.0969848744934814,0.33663645440803286
attention_primary,full,classification,MLP_current,20260907,7,1.0965894276980852,0.3363735041704104
attention_primary,full,classification,MLP_current,20260907,8,1.0972754114726986,0.3369010931816766
attention_primary,full,classification,MLP_current,20260908,1,1.1004203090791835,0.340881903973625
attention_primary,full,classification,MLP_current,20260908,2,1.0977768439648596,0.3321898416755118
attention_primary,full,classification,MLP_current,20260908,3,1.0978415790869265,0.33707653491654077
attention_primary,full,classification,MLP_current,20260908,4,1.0971154682525548,0.3405315947000117
attention_primary,full,classification,MLP_current,20260908,5,1.0971580412711521,0.34256578092300755
attention_primary,full,classification,MLP_current,20260908,6,1.0967798731588676,0.34204547650863665
attention_primary,full,classification,MLP_current,20260908,7,1.0955028850910262,0.34300486749945236
attention_primary,full,classification,MLP_current,20260908,8,1.0961766380489455,0.339168408572476
attention_primary,full,classification,MLP_current,20260908,9,1.0956566322488004,0.3407405973133052
attention_primary,full,classification,MLP_current,20260908,10,1.0952015319402244,0.3447035488846033
attention_primary,full,classification,MLP_current,20260908,11,1.0948202892084582,0.3427783925679634
attention_primary,full,classification,MLP_current,20260908,12,1.095168766627048,0.3461714801156898
attention_primary,full,classification,MLP_current,20260908,13,1.094426528901893,0.34314161210125105
attention_primary,full,classification,MLP_current,20260908,14,1.09424763542419,0.3437375320042054
attention_primary,full,classification,MLP_current,20260908,15,1.0941621752682258,0.34647237420861804
attention_primary,full,classification,MLP_current,20260908,16,1.093761703348202,0.346031681969312
attention_primary,full,classification,MLP_current,20260908,17,1.09399239038864,0.3458851465431262
attention_primary,full,classification,MLP_current,20260908,18,1.0936653621448493,0.3451850701585909
attention_primary,full,classification,MLP_current,20260908,19,1.093571058394323,0.34303240704058074
attention_primary,full,classification,MLP_current,20260908,20,1.0927236424998679,0.3423246897476976
attention_primary,full,classification,MLP_current,20260908,21,1.0933839005854171,0.34448820483486103
attention_primary,full,regression,TCN,20260907,1,1.0545450342508929,-1.0037112769752106
attention_primary,full,regression,TCN,20260907,2,1.014717233071698,-1.0022260240528902
attention_primary,full,regression,TCN,20260907,3,1.0052335783949409,-1.0025134330275995
attention_primary,full,regression,TCN,20260907,4,1.002955995061559,-1.001684365034056
attention_primary,full,regression,TCN,20260907,5,0.9979278908541696,-1.0041387365760428
attention_primary,full,regression,TCN,20260907,6,0.9934693531537331,-1.005143080767616
attention_primary,full,regression,TCN,20260907,7,0.9933437818748928,-1.0043531644211023
attention_primary,full,regression,TCN,20260907,8,0.9896187185183393,-1.0074323236494411
attention_primary,full,regression,TCN,20260907,9,0.9892592495343135,-1.0107756900255742
attention_primary,full,regression,TCN,20260907,10,0.9873672788998531,-1.0118890541831531
attention_primary,full,regression,TCN,20260908,1,1.0520932968817178,-1.0057888452381465
attention_primary,full,regression,TCN,20260908,2,1.0172158740956696,-1.0042544246590608
attention_primary,full,regression,TCN,20260908,3,1.005261346790361,-1.0050170235640317
attention_primary,full,regression,TCN,20260908,4,1.0004554394433147,-1.0052450978744956
