task,kind,subset,architecture,seed,split,scope,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
attention_primary,regression,EEG,LSTM,20260908,test,all,-1.0023127728631571,4025,8,,,-0.002487618438527628,0.7356328219832821,1.0024876196186638
attention_primary,regression,EEG,LSTM,20260908,test,history_8,-0.9726432976697034,1375,8,,,-0.0032052153829016383,0.7289512121341624,0.9733192998929613
attention_primary,regression,EEG,BiLSTM,20260907,validation,all,-0.9990326319089768,4662,8,,,0.0009842726682011138,0.7368331390884528,0.9990157277023204
attention_primary,regression,EEG,BiLSTM,20260907,validation,history_8,-0.9516059859859058,1591,8,,,0.006132533359743841,0.7194149667010323,0.9300821993530226
attention_primary,regression,EEG,BiLSTM,20260907,test,all,-1.0048571121960461,4025,8,,,-0.005085181467673339,0.7363865918263542,1.0050851826508673
attention_primary,regression,EEG,BiLSTM,20260907,test,history_8,-0.9742644664891529,1375,8,,,-0.004785840416571485,0.7293864607095158,0.974852837426035
attention_primary,regression,EEG,BiLSTM,20260908,validation,all,-1.0004518456744131,4662,8,,,-0.0009826144595859176,0.7364063023135817,1.000982614830837
attention_primary,regression,EEG,BiLSTM,20260908,validation,history_8,-0.9532097209360472,1591,8,,,0.004725484816206493,0.7197950676042519,0.9313989451444847
attention_primary,regression,EEG,BiLSTM,20260908,test,all,-1.003402061369727,4025,8,,,-0.0035563624054091303,0.7353398245323863,1.0035563635868032
attention_primary,regression,EEG,BiLSTM,20260908,test,history_8,-0.9722783100113157,1375,8,,,-0.002630383820437565,0.7288148968641018,0.9727615928103478
attention_primary,classification,compact_no_noise,TCN,20260907,validation,all,0.34031318096958296,4662,8,0.33855403837336145,0.3221319239862291,,,
attention_primary,classification,compact_no_noise,TCN,20260907,validation,history_8,0.34737906683510544,1591,8,0.34694771041601374,0.3411091246670696,,,
attention_primary,classification,compact_no_noise,TCN,20260907,test,all,0.34235910636293515,4025,8,0.3410836646066044,0.31874145029128403,,,
attention_primary,classification,compact_no_noise,TCN,20260907,test,history_8,0.33925399507045784,1375,8,0.3397594930133499,0.32776975613470755,,,
attention_primary,classification,compact_no_noise,TCN,20260908,validation,all,0.33642950854279596,4662,8,0.3381388318267267,0.33075234334726583,,,
attention_primary,classification,compact_no_noise,TCN,20260908,validation,history_8,0.34721721045878523,1591,8,0.3538276750826532,0.3342992574418453,,,
attention_primary,classification,compact_no_noise,TCN,20260908,test,all,0.33330065381082596,4025,8,0.33313847759881426,0.3229605424873833,,,
attention_primary,classification,compact_no_noise,TCN,20260908,test,history_8,0.30843686277323584,1375,8,0.31053036205911383,0.27976427327968684,,,
