fold,inner,base_id,family,representation,smoothing,candidate_id,score
1,2,relative_m4,trees,relative,32,relative_m4_s32,0.35389930952956167
1,2,relative_m5,trees,relative,1,relative_m5_s1,0.3311904093416698
1,2,relative_m5,trees,relative,8,relative_m5_s8,0.34327217133939825
1,2,relative_m5,trees,relative,32,relative_m5_s32,0.34960884120547986
1,3,current_m0,ridge,current,1,current_m0_s1,0.35715482277342414
1,3,current_m0,ridge,current,8,current_m0_s8,0.33345431454770913
1,3,current_m0,ridge,current,32,current_m0_s32,0.32888523411258797
1,3,current_m1,ridge,current,1,current_m1_s1,0.3560261716376257
1,3,current_m1,ridge,current,8,current_m1_s8,0.33379850367241054
1,3,current_m1,ridge,current,32,current_m1_s32,0.3274937669045433
1,3,current_m2,rbf,current,1,current_m2_s1,0.35596928292703217
1,3,current_m2,rbf,current,8,current_m2_s8,0.3388021598786438
1,3,current_m2,rbf,current,32,current_m2_s32,0.34310847381931553
1,3,current_m3,rbf,current,1,current_m3_s1,0.3629823450791669
1,3,current_m3,rbf,current,8,current_m3_s8,0.3560825850674684
1,3,current_m3,rbf,current,32,current_m3_s32,0.3492377908286084
1,3,current_m4,trees,current,1,current_m4_s1,0.3852575986209569
1,3,current_m4,trees,current,8,current_m4_s8,0.3840625995895695
1,3,current_m4,trees,current,32,current_m4_s32,0.38416068938120734
1,3,current_m5,trees,current,1,current_m5_s1,0.39344120352307616
1,3,current_m5,trees,current,8,current_m5_s8,0.3765128382464715
1,3,current_m5,trees,current,32,current_m5_s32,0.37977367061288925
1,3,multiscale_m0,ridge,multiscale,1,multiscale_m0_s1,0.34505318691623116
1,3,multiscale_m0,ridge,multiscale,8,multiscale_m0_s8,0.3216700648375099
1,3,multiscale_m0,ridge,multiscale,32,multiscale_m0_s32,0.320382131904886
1,3,multiscale_m1,ridge,multiscale,1,multiscale_m1_s1,0.3248183028405408
1,3,multiscale_m1,ridge,multiscale,8,multiscale_m1_s8,0.3195282623312521
1,3,multiscale_m1,ridge,multiscale,32,multiscale_m1_s32,0.3214021322651376
1,3,multiscale_m2,rbf,multiscale,1,multiscale_m2_s1,0.3319070699938023
1,3,multiscale_m2,rbf,multiscale,8,multiscale_m2_s8,0.32096610569737055
1,3,multiscale_m2,rbf,multiscale,32,multiscale_m2_s32,0.31980930378355704
1,3,multiscale_m3,rbf,multiscale,1,multiscale_m3_s1,0.3774503134651161
1,3,multiscale_m3,rbf,multiscale,8,multiscale_m3_s8,0.3734270088939105
1,3,multiscale_m3,rbf,multiscale,32,multiscale_m3_s32,0.375623707946784
1,3,multiscale_m4,trees,multiscale,1,multiscale_m4_s1,0.35106047044157385
1,3,multiscale_m4,trees,multiscale,8,multiscale_m4_s8,0.3563909503302706
1,3,multiscale_m4,trees,multiscale,32,multiscale_m4_s32,0.3582789719238404
1,3,multiscale_m5,trees,multiscale,1,multiscale_m5_s1,0.3632693574456441
1,3,multiscale_m5,trees,multiscale,8,multiscale_m5_s8,0.35386962647191367
1,3,multiscale_m5,trees,multiscale,32,multiscale_m5_s32,0.35776640458550224
1,3,delayed4_m0,ridge,delayed4,1,delayed4_m0_s1,0.32704704408266677
1,3,delayed4_m0,ridge,delayed4,8,delayed4_m0_s8,0.3206845707377829
1,3,delayed4_m0,ridge,delayed4,32,delayed4_m0_s32,0.32321661879557956
1,3,delayed4_m1,ridge,delayed4,1,delayed4_m1_s1,0.3206530104778672
1,3,delayed4_m1,ridge,delayed4,8,delayed4_m1_s8,0.30876715890582923
1,3,delayed4_m1,ridge,delayed4,32,delayed4_m1_s32,0.30873016598442077
1,3,delayed4_m2,rbf,delayed4,1,delayed4_m2_s1,0.3182237144321501
1,3,delayed4_m2,rbf,delayed4,8,delayed4_m2_s8,0.3050417542317603
1,3,delayed4_m2,rbf,delayed4,32,delayed4_m2_s32,0.3007550563737661
1,3,delayed4_m3,rbf,delayed4,1,delayed4_m3_s1,0.3248429619392465
1,3,delayed4_m3,rbf,delayed4,8,delayed4_m3_s8,0.3104884016320862
1,3,delayed4_m3,rbf,delayed4,32,delayed4_m3_s32,0.30803982319939577
1,3,delayed4_m4,trees,delayed4,1,delayed4_m4_s1,0.34699050301368584
1,3,delayed4_m4,trees,delayed4,8,delayed4_m4_s8,0.354663267577894
1,3,delayed4_m4,trees,delayed4,32,delayed4_m4_s32,0.3490544654012117
1,3,delayed4_m5,trees,delayed4,1,delayed4_m5_s1,0.34261947027264905
1,3,delayed4_m5,trees,delayed4,8,delayed4_m5_s8,0.34423016592986544
1,3,delayed4_m5,trees,delayed4,32,delayed4_m5_s32,0.33798995147614475
1,3,relative_m0,ridge,relative,1,relative_m0_s1,0.35424881118605683
1,3,relative_m0,ridge,relative,8,relative_m0_s8,0.34436585871545744
1,3,relative_m0,ridge,relative,32,relative_m0_s32,0.3429791557896361
1,3,relative_m1,ridge,relative,1,relative_m1_s1,0.35740283940649437
1,3,relative_m1,ridge,relative,8,relative_m1_s8,0.34544542935316447
1,3,relative_m1,ridge,relative,32,relative_m1_s32,0.34599597931208376
1,3,relative_m2,rbf,relative,1,relative_m2_s1,0.37664391594376273
1,3,relative_m2,rbf,relative,8,relative_m2_s8,0.3586212459918716
1,3,relative_m2,rbf,relative,32,relative_m2_s32,0.3614595050855125
1,3,relative_m3,rbf,relative,1,relative_m3_s1,0.3730660722031576
1,3,relative_m3,rbf,relative,8,relative_m3_s8,0.37787065200137726
1,3,relative_m3,rbf,relative,32,relative_m3_s32,0.37564481152090956
1,3,relative_m4,trees,relative,1,relative_m4_s1,0.3662310210233156
1,3,relative_m4,trees,relative,8,relative_m4_s8,0.36755941204185255
1,3,relative_m4,trees,relative,32,relative_m4_s32,0.3665045542333766
1,3,relative_m5,trees,relative,1,relative_m5_s1,0.3718728860134978
1,3,relative_m5,trees,relative,8,relative_m5_s8,0.3710945369129492
1,3,relative_m5,trees,relative,32,relative_m5_s32,0.3674045995540192
2,1,current_m0,ridge,current,1,current_m0_s1,0.3569276065079255
2,1,current_m0,ridge,current,8,current_m0_s8,0.38030551525138767
2,1,current_m0,ridge,current,32,current_m0_s32,0.3852458681922219
2,1,current_m1,ridge,current,1,current_m1_s1,0.35728934970311516
2,1,current_m1,ridge,current,8,current_m1_s8,0.37640414597534005
2,1,current_m1,ridge,current,32,current_m1_s32,0.3837786832537026
2,1,current_m2,rbf,current,1,current_m2_s1,0.3597165889766111
2,1,current_m2,rbf,current,8,current_m2_s8,0.3898138323972127
2,1,current_m2,rbf,current,32,current_m2_s32,0.3915010267107969
2,1,current_m3,rbf,current,1,current_m3_s1,0.3500215106308079
2,1,current_m3,rbf,current,8,current_m3_s8,0.36559932684928276
2,1,current_m3,rbf,current,32,current_m3_s32,0.3698908405706928
2,1,current_m4,trees,current,1,current_m4_s1,0.33900507146623365
2,1,current_m4,trees,current,8,current_m4_s8,0.3514815628147122
2,1,current_m4,trees,current,32,current_m4_s32,0.3585544320396657
2,1,current_m5,trees,current,1,current_m5_s1,0.33385281630710395
2,1,current_m5,trees,current,8,current_m5_s8,0.3386733823616496
2,1,current_m5,trees,current,32,current_m5_s32,0.3441863664077099
2,1,multiscale_m0,ridge,multiscale,1,multiscale_m0_s1,0.40788317755385023
2,1,multiscale_m0,ridge,multiscale,8,multiscale_m0_s8,0.4157928840586656
2,1,multiscale_m0,ridge,multiscale,32,multiscale_m0_s32,0.41055719126613155
2,1,multiscale_m1,ridge,multiscale,1,multiscale_m1_s1,0.3981754137049796
2,1,multiscale_m1,ridge,multiscale,8,multiscale_m1_s8,0.4074373557315035
2,1,multiscale_m1,ridge,multiscale,32,multiscale_m1_s32,0.40128436161228787
2,1,multiscale_m2,rbf,multiscale,1,multiscale_m2_s1,0.3891980607504276
2,1,multiscale_m2,rbf,multiscale,8,multiscale_m2_s8,0.38519040109027924
2,1,multiscale_m2,rbf,multiscale,32,multiscale_m2_s32,0.3835720668843337
2,1,multiscale_m3,rbf,multiscale,1,multiscale_m3_s1,0.3728626415037973
2,1,multiscale_m3,rbf,multiscale,8,multiscale_m3_s8,0.3656142387196367
2,1,multiscale_m3,rbf,multiscale,32,multiscale_m3_s32,0.3616041465910846
2,1,multiscale_m4,trees,multiscale,1,multiscale_m4_s1,0.36079725411801106
2,1,multiscale_m4,trees,multiscale,8,multiscale_m4_s8,0.3583581757411611
2,1,multiscale_m4,trees,multiscale,32,multiscale_m4_s32,0.3615483975513058
2,1,multiscale_m5,trees,multiscale,1,multiscale_m5_s1,0.356779709629705
2,1,multiscale_m5,trees,multiscale,8,multiscale_m5_s8,0.35043336081695226
2,1,multiscale_m5,trees,multiscale,32,multiscale_m5_s32,0.3596949459194239
2,1,delayed4_m0,ridge,delayed4,1,delayed4_m0_s1,0.40955927424583016
2,1,delayed4_m0,ridge,delayed4,8,delayed4_m0_s8,0.4093968576034207
2,1,delayed4_m0,ridge,delayed4,32,delayed4_m0_s32,0.4055960983223169
2,1,delayed4_m1,ridge,delayed4,1,delayed4_m1_s1,0.40149585467379
2,1,delayed4_m1,ridge,delayed4,8,delayed4_m1_s8,0.39716296781976806
2,1,delayed4_m1,ridge,delayed4,32,delayed4_m1_s32,0.3976101603745948
2,1,delayed4_m2,rbf,delayed4,1,delayed4_m2_s1,0.3831520644736212
