fold,inner,candidate_id,family,score
2,3,both_h0.5_geometric_s4,both,0.3705345895393898
2,3,both_h0.75_mean_s1,both,0.37227895793315746
2,3,both_h0.75_mean_s4,both,0.3754369052611292
2,3,both_h0.75_geometric_s1,both,0.3715990740242298
2,3,both_h0.75_geometric_s4,both,0.3757937765857424
2,3,both_h1.0_mean_s1,both,0.3775110738031691
2,3,both_h1.0_mean_s4,both,0.3806483458003195
2,3,both_h1.0_geometric_s1,both,0.37766990726626803
2,3,both_h1.0_geometric_s4,both,0.37815519965403843
2,3,logistic_h0.0_mean_s1,logistic,0.3598152372682437
2,3,logistic_h0.0_mean_s4,logistic,0.3587950505597829
2,3,logistic_h0.0_geometric_s1,logistic,0.3601690943099988
2,3,logistic_h0.0_geometric_s4,logistic,0.3589461129115058
2,3,logistic_h0.25_mean_s1,logistic,0.3669048585963084
2,3,logistic_h0.25_mean_s4,logistic,0.3649264449573067
2,3,logistic_h0.25_geometric_s1,logistic,0.36680684965825033
2,3,logistic_h0.25_geometric_s4,logistic,0.365310785434233
2,3,logistic_h0.5_mean_s1,logistic,0.37656961452017196
2,3,logistic_h0.5_mean_s4,logistic,0.3832129469699072
2,3,logistic_h0.5_geometric_s1,logistic,0.37668812015878844
2,3,logistic_h0.5_geometric_s4,logistic,0.38313067619299307
2,3,logistic_h0.75_mean_s1,logistic,0.38261710032323143
2,3,logistic_h0.75_mean_s4,logistic,0.3858562370219782
2,3,logistic_h0.75_geometric_s1,logistic,0.3831241788030596
2,3,logistic_h0.75_geometric_s4,logistic,0.38546749423105164
2,3,logistic_h1.0_mean_s1,logistic,0.38477158638287345
2,3,logistic_h1.0_mean_s4,logistic,0.3872974908626602
2,3,logistic_h1.0_geometric_s1,logistic,0.3844177293411184
2,3,logistic_h1.0_geometric_s4,logistic,0.3872393053206037
2,3,lda_h0.0_mean_s1,lda,0.3512060932017604
2,3,lda_h0.0_mean_s4,lda,0.35437478405157175
2,3,lda_h0.0_geometric_s1,lda,0.3512060932017604
2,3,lda_h0.0_geometric_s4,lda,0.35413428381107154
2,3,lda_h0.25_mean_s1,lda,0.37184487016715745
2,3,lda_h0.25_mean_s4,lda,0.3669736226036732
2,3,lda_h0.25_geometric_s1,lda,0.37068736670855074
2,3,lda_h0.25_geometric_s4,lda,0.367079711621342
2,3,lda_h0.5_mean_s1,lda,0.37129986417191446
2,3,lda_h0.5_mean_s4,lda,0.3692882617336719
2,3,lda_h0.5_geometric_s1,lda,0.3723534537418437
2,3,lda_h0.5_geometric_s4,lda,0.37102942372328107
2,3,lda_h0.75_mean_s1,lda,0.3646919815553727
2,3,lda_h0.75_mean_s4,lda,0.362602597328004
2,3,lda_h0.75_geometric_s1,lda,0.36521486998537106
2,3,lda_h0.75_geometric_s4,lda,0.362545886102048
2,3,lda_h1.0_mean_s1,lda,0.36428201089286627
2,3,lda_h1.0_mean_s4,lda,0.36340552472542875
2,3,lda_h1.0_geometric_s1,lda,0.36517150636364254
2,3,lda_h1.0_geometric_s4,lda,0.36399884536871635
3,1,both_h0.0_mean_s1,both,0.3446997350383388
3,1,both_h0.0_mean_s4,both,0.3551652613419239
3,1,both_h0.0_geometric_s1,both,0.3447013731204722
3,1,both_h0.0_geometric_s4,both,0.3546089413139483
3,1,both_h0.25_mean_s1,both,0.35376826588732
3,1,both_h0.25_mean_s4,both,0.35440189484385953
3,1,both_h0.25_geometric_s1,both,0.3537775406728981
3,1,both_h0.25_geometric_s4,both,0.3541792111731011
3,1,both_h0.5_mean_s1,both,0.3466185364513076
3,1,both_h0.5_mean_s4,both,0.3432721808164727
3,1,both_h0.5_geometric_s1,both,0.34729446571015316
3,1,both_h0.5_geometric_s4,both,0.3428695585640786
3,1,both_h0.75_mean_s1,both,0.34404474097083915
3,1,both_h0.75_mean_s4,both,0.34310029068688
3,1,both_h0.75_geometric_s1,both,0.34525211213827656
3,1,both_h0.75_geometric_s4,both,0.3435622285319954
3,1,both_h1.0_mean_s1,both,0.3444914314936603
3,1,both_h1.0_mean_s4,both,0.33843671821743293
3,1,both_h1.0_geometric_s1,both,0.3451614305631364
3,1,both_h1.0_geometric_s4,both,0.33818460589404464
3,1,logistic_h0.0_mean_s1,logistic,0.3439483876489915
3,1,logistic_h0.0_mean_s4,logistic,0.35048944187756575
3,1,logistic_h0.0_geometric_s1,logistic,0.34422686161167604
3,1,logistic_h0.0_geometric_s4,logistic,0.35048944187756575
3,1,logistic_h0.25_mean_s1,logistic,0.35220629036479567
3,1,logistic_h0.25_mean_s4,logistic,0.3571205702913947
3,1,logistic_h0.25_geometric_s1,logistic,0.3523354853560664
3,1,logistic_h0.25_geometric_s4,logistic,0.3578860167757169
3,1,logistic_h0.5_mean_s1,logistic,0.35918856256437587
3,1,logistic_h0.5_mean_s4,logistic,0.35725253283029823
3,1,logistic_h0.5_geometric_s1,logistic,0.35973220425828073
3,1,logistic_h0.5_geometric_s4,logistic,0.35799108535552243
3,1,logistic_h0.75_mean_s1,logistic,0.3491355165495959
3,1,logistic_h0.75_mean_s4,logistic,0.35046539612649097
3,1,logistic_h0.75_geometric_s1,logistic,0.34913387846746247
3,1,logistic_h0.75_geometric_s4,logistic,0.3509956294911606
3,1,logistic_h1.0_mean_s1,logistic,0.3473026538677559
3,1,logistic_h1.0_mean_s4,logistic,0.3457953575155556
3,1,logistic_h1.0_geometric_s1,logistic,0.34728345172795977
3,1,logistic_h1.0_geometric_s4,logistic,0.3457953575155556
3,1,lda_h0.0_mean_s1,lda,0.34462613095877875
3,1,lda_h0.0_mean_s4,lda,0.35276108998559336
3,1,lda_h0.0_geometric_s1,lda,0.34462613095877875
3,1,lda_h0.0_geometric_s4,lda,0.35250121505226506
3,1,lda_h0.25_mean_s1,lda,0.3445743174951328
3,1,lda_h0.25_mean_s4,lda,0.34440094322900433
3,1,lda_h0.25_geometric_s1,lda,0.3448748609898775
3,1,lda_h0.25_geometric_s4,lda,0.3438672772558256
3,1,lda_h0.5_mean_s1,lda,0.34319172154372307
3,1,lda_h0.5_mean_s4,lda,0.3367848129471413
3,1,lda_h0.5_geometric_s1,lda,0.34350151238098353
3,1,lda_h0.5_geometric_s4,lda,0.33752509752051163
3,1,lda_h0.75_mean_s1,lda,0.3342852190878184
3,1,lda_h0.75_mean_s4,lda,0.3357436652466565
3,1,lda_h0.75_geometric_s1,lda,0.3342478630685978
3,1,lda_h0.75_geometric_s4,lda,0.33470457772341466
3,1,lda_h1.0_mean_s1,lda,0.3351376159740719
3,1,lda_h1.0_mean_s4,lda,0.3373513998425673
3,1,lda_h1.0_geometric_s1,lda,0.3345965913073327
