fold,inner,representation,estimator,smoothing,score,evaluation_participants,fit_participants
1,1,recording_8,hgb,4,0.3543557431555745,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,hgb,8,0.3568875361381985,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,rbf,1,0.355992144593968,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,rbf,4,0.3617398286138231,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,rbf,8,0.3665031470038441,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,logistic_0.01,1,0.3610134658773298,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,logistic_0.01,4,0.36584874706677967,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,logistic_0.01,8,0.36045206617056186,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,logistic_0.1,1,0.36341941143148576,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,logistic_0.1,4,0.36908481660529047,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,logistic_0.1,8,0.36475307761100695,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,logistic_1,1,0.35986475005543994,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,logistic_1,4,0.3683684957687003,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,logistic_1,8,0.369944029240539,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,hgb,1,0.36414020594307134,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,hgb,4,0.3642686263579487,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_16,hgb,8,0.3551565685861444,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
