fold,inner,candidate_id,family,window,low,high,score,strength,scale
2,2,rank_w1_l0.400_h0.667,rank,1,0.4,0.6666666666666666,0.3764484650272468,,
2,2,rank_w1_l0.400_h0.800,rank,1,0.4,0.8,0.36605022397815234,,
2,2,center_w1_s0.25_scaleFalse,center,1,,,0.3576682331379035,0.25,False
2,2,center_w1_s0.25_scaleTrue,center,1,,,0.37090045891136214,0.25,True
2,2,center_w1_s0.5_scaleFalse,center,1,,,0.35724854142460516,0.5,False
2,2,center_w1_s0.5_scaleTrue,center,1,,,0.37097762057188055,0.5,True
2,2,center_w1_s1.0_scaleFalse,center,1,,,0.35694779057035514,1.0,False
2,2,center_w1_s1.0_scaleTrue,center,1,,,0.3550749333435986,1.0,True
2,2,rank_w8_l0.200_h0.600,rank,8,0.2,0.6,0.33956033402315133,,
2,2,rank_w8_l0.200_h0.667,rank,8,0.2,0.6666666666666666,0.3386640589978217,,
2,2,rank_w8_l0.200_h0.800,rank,8,0.2,0.8,0.3301822003972094,,
2,2,rank_w8_l0.333_h0.600,rank,8,0.3333333333333333,0.6,0.36693887038149076,,
2,2,rank_w8_l0.333_h0.667,rank,8,0.3333333333333333,0.6666666666666666,0.3660425953561611,,
2,2,rank_w8_l0.333_h0.800,rank,8,0.3333333333333333,0.8,0.35756073675554895,,
2,2,rank_w8_l0.400_h0.600,rank,8,0.4,0.6,0.37416871055991513,,
2,2,rank_w8_l0.400_h0.667,rank,8,0.4,0.6666666666666666,0.37327243553458567,,
2,2,rank_w8_l0.400_h0.800,rank,8,0.4,0.8,0.3647905769339734,,
2,2,center_w8_s0.25_scaleFalse,center,8,,,0.3731783627016207,0.25,False
2,2,center_w8_s0.25_scaleTrue,center,8,,,0.383128313261845,0.25,True
2,2,center_w8_s0.5_scaleFalse,center,8,,,0.3711893398915473,0.5,False
2,2,center_w8_s0.5_scaleTrue,center,8,,,0.37879347612534403,0.5,True
2,2,center_w8_s1.0_scaleFalse,center,8,,,0.3792365349603258,1.0,False
2,2,center_w8_s1.0_scaleTrue,center,8,,,0.37595721829320583,1.0,True
2,2,rank_w32_l0.200_h0.600,rank,32,0.2,0.6,0.3407196849269469,,
2,2,rank_w32_l0.200_h0.667,rank,32,0.2,0.6666666666666666,0.3407337955967116,,
2,2,rank_w32_l0.200_h0.800,rank,32,0.2,0.8,0.3324430760623161,,
2,2,rank_w32_l0.333_h0.600,rank,32,0.3333333333333333,0.6,0.366801550807222,,
2,2,rank_w32_l0.333_h0.667,rank,32,0.3333333333333333,0.6666666666666666,0.3668156614769867,,
2,2,rank_w32_l0.333_h0.800,rank,32,0.3333333333333333,0.8,0.3585249419425912,,
2,2,rank_w32_l0.400_h0.600,rank,32,0.4,0.6,0.37472168780958764,,
2,2,rank_w32_l0.400_h0.667,rank,32,0.4,0.6666666666666666,0.37473579847935223,,
2,2,rank_w32_l0.400_h0.800,rank,32,0.4,0.8,0.36644507894495676,,
2,2,center_w32_s0.25_scaleFalse,center,32,,,0.3702756935690146,0.25,False
2,2,center_w32_s0.25_scaleTrue,center,32,,,0.36896619307513984,0.25,True
2,2,center_w32_s0.5_scaleFalse,center,32,,,0.36816333248794264,0.5,False
2,2,center_w32_s0.5_scaleTrue,center,32,,,0.3783329176818783,0.5,True
