task,kind,model,feature,importance,bootstrap_low,bootstrap_high,repeat_sd,positive_participants,participants,pooled_importance,shifted_fraction,metric
attention_primary,classification,random_forest,eeg_std_uv,0.0040975160489035,-0.00020676603106397314,0.008309008020471837,0.0015809410802222978,6,8,0.0037093945929900117,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,eeg_peak_to_peak_uv,0.003282522076272462,-0.0008513586578640386,0.007369733789423198,0.001698902667756914,6,8,0.0035396702956546787,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,eeg_delta_relative,0.0011490634346235677,-0.005436581780785367,0.007195697220510299,0.0025145147209943487,5,8,0.0020108963440304993,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,eeg_theta_relative,-0.002401229880408831,-0.012282755338990127,0.006146005081835799,0.0028544888635161267,4,8,-0.0007340327563479354,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,eeg_alpha_relative,0.004239996232144253,-0.0039411266116787845,0.010148649211275737,0.0021287981343203633,7,8,0.0048272520058200985,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,eeg_beta_relative,0.002088773890610183,-0.0016850886967764709,0.007758478338270564,0.0019236488913175556,4,8,0.0015607351997488528,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,eeg_gamma_relative,0.00451633720285408,-0.002193498728954762,0.010142767555132381,0.0022635560863497987,6,8,0.0041184902924433775,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,eeg_line_noise_ratio,0.006894547208184255,0.0015031272957950728,0.011680224092774536,0.0010725935907721171,6,8,0.006646918836362303,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,gsr_mean_z,0.0030073554094504984,-0.0014355056839593409,0.007889495594356581,0.001695964048560052,4,8,0.0033661387887887416,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,gsr_std_z,0.0032862801444280033,-0.00135933002610497,0.008568567448391207,0.002788185135855579,4,8,0.003065355441633566,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,gsr_min_z,0.004132477482431785,-0.0023871745342830984,0.011333433874252723,0.003307293505923675,5,8,0.0028538208106487495,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,gsr_max_z,0.0018423622775045204,-0.00930042046782347,0.010618872244951226,0.0018519084997236518,5,8,0.0025333117039690765,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,gsr_tonic_mean_z,0.008398871452851796,0.0033003792812642146,0.013405932623542834,0.001689484194666389,7,8,0.00800158192314846,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,gsr_phasic_mean_z,-9.181766082904178e-05,-0.0040637740356040085,0.003407058606923608,0.00168520974951048,5,8,-2.2498401247855736e-05,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,gsr_slope_z_s,0.0032290487437286342,-0.006746749388460932,0.011453443692486201,0.0016245137634741233,5,8,0.003943344859798159,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,gsr_scr_count,0.00027333074360390633,0.0,0.00077169776509644,0.00033219905721851544,2,8,0.00021480386525568607,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,gsr_scr_mean_prominence_z,0.0004475725026734281,-4.9019607843137083e-05,0.001342330001238917,0.0002530023674337528,2,8,0.0003648437857788067,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,modalidad:EEG,0.003233480915349464,-0.006638861401778128,0.013873070578193734,0.004321062282107809,4,8,0.00398796921788333,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,modalidad:GSR,0.0028774200657804205,-0.014792227340512939,0.019287186237746733,0.005081606888557128,4,8,0.0032977331653747275,0.95002145002145,delta_balanced_accuracy
attention_primary,regression,ridge,eeg_rms_uv,0.007394235736350244,0.0005212949110902489,0.015748440383884812,0.001690254516844778,7,8,0.006896401549519227,0.95002145002145,increase_mse
attention_primary,regression,ridge,eeg_std_uv,0.01263218127904533,0.0055816096288081735,0.020678430212402024,0.004898512706707962,8,8,0.011264025937620303,0.95002145002145,increase_mse
attention_primary,regression,ridge,eeg_peak_to_peak_uv,0.008784942203646458,0.003078058679476403,0.016178045901338096,0.0022322623295342194,7,8,0.007916089842930551,0.95002145002145,increase_mse
attention_primary,regression,ridge,eeg_delta_relative,0.11842447113753947,0.09055017610858426,0.14690372756813433,0.005049035505841342,8,8,0.12488952211227955,0.95002145002145,increase_mse
attention_primary,regression,ridge,eeg_theta_relative,0.020127058888674672,0.014012091359296165,0.027334309166391804,0.002658474725407976,8,8,0.020864645795822347,0.95002145002145,increase_mse
attention_primary,regression,ridge,eeg_alpha_relative,0.005875586434232765,0.003610878622965045,0.007844832468117966,0.0008969575038566996,7,8,0.00585632517965966,0.95002145002145,increase_mse
attention_primary,regression,ridge,eeg_beta_relative,0.023717993904703027,0.012347264963542104,0.03502567380706526,0.0014294594229674917,7,8,0.02320748805170978,0.95002145002145,increase_mse
attention_primary,regression,ridge,eeg_gamma_relative,0.0005502808904702381,-0.0009173941951421222,0.002224367110776149,0.00047697120314175756,3,8,0.0003230872270023499,0.95002145002145,increase_mse
attention_primary,regression,ridge,eeg_line_noise_ratio,0.00015789965847680113,-0.0014382015287455537,0.0013887275369750863,0.0004267677730056644,5,8,0.0003847880426124939,0.95002145002145,increase_mse
attention_primary,regression,ridge,gsr_mean_z,-0.0014170226027817646,-0.003189144976407412,-0.00011635750751844335,0.0003979271997465344,2,8,-0.001133138610391804,0.95002145002145,increase_mse
attention_primary,regression,ridge,gsr_std_z,0.0005890702039352087,-0.00028607345981876414,0.002045879971831328,0.00028642470239153704,4,8,0.0004624374935601638,0.95002145002145,increase_mse
attention_primary,regression,ridge,gsr_min_z,0.0094024522822028,0.0032969315777929436,0.016339557560924506,0.0013444209419883008,7,8,0.008912915402136257,0.95002145002145,increase_mse
attention_primary,regression,ridge,gsr_max_z,-0.0019068322996111066,-0.004498663390860542,5.1655051479742e-05,0.0006021895698207154,1,8,-0.0014595512725917303,0.95002145002145,increase_mse
attention_primary,regression,ridge,gsr_tonic_mean_z,-0.0011996687436065538,-0.002562463178828799,-0.00013368597187848446,0.0002624326544464679,2,8,-0.0009629264252932534,0.95002145002145,increase_mse
attention_primary,regression,ridge,gsr_phasic_mean_z,-0.00010082970357081362,-0.00027693554787770833,2.276272079005912e-05,5.788266472181003e-05,2,8,-8.139922082890383e-05,0.95002145002145,increase_mse
attention_primary,regression,ridge,gsr_slope_z_s,0.0010598335425082276,-0.0006689364546808265,0.003714936615648706,0.000662582376813936,4,8,0.0009028271294147072,0.95002145002145,increase_mse
attention_primary,regression,ridge,gsr_scr_count,0.000327389157084805,-0.0001131136964455929,0.0010667727549644205,0.00015970791506422636,4,8,0.0002500642905973294,0.95002145002145,increase_mse
attention_primary,regression,ridge,gsr_scr_mean_prominence_z,-5.322539873219012e-05,-0.00026315267855659,8.963505356003043e-05,6.830254017444398e-05,3,8,-3.287770251739763e-05,0.95002145002145,increase_mse
attention_primary,regression,ridge,modalidad:EEG,0.0006780192056737161,-0.0007527430521311067,0.002370977992092744,0.0009349851810939762,5,8,0.0007108402311170603,0.95002145002145,increase_mse
attention_primary,regression,ridge,modalidad:GSR,0.0008874518527647757,-0.0005397605971057844,0.0030747197315096073,0.0006097531942478428,5,8,0.0007696209579432622,0.95002145002145,increase_mse
attention_primary,regression,random_forest,eeg_rms_uv,-0.0025691935831756415,-0.011039977612783084,0.005161157439679865,0.0014134933356493543,4,8,-0.0022321749523722457,0.95002145002145,increase_mse
attention_primary,regression,random_forest,eeg_std_uv,-0.002095917044174053,-0.0063219427123921606,0.0019312512163943113,0.001876770335244369,4,8,-0.0016278488054594308,0.95002145002145,increase_mse
attention_primary,regression,random_forest,eeg_peak_to_peak_uv,-0.0036945318637330643,-0.01082022229630495,0.0026643013906507414,0.001030859502647113,4,8,-0.0027623838819884837,0.95002145002145,increase_mse
attention_primary,regression,random_forest,eeg_delta_relative,-0.004066497091131011,-0.006306819465294288,-0.0021066684462896904,0.0007458149051927946,1,8,-0.004075746601183638,0.95002145002145,increase_mse
attention_primary,regression,random_forest,eeg_theta_relative,-0.002849777780180199,-0.00712179380892742,0.0011566014946197986,0.0010184759936309338,3,8,-0.003162758346382533,0.95002145002145,increase_mse
attention_primary,regression,random_forest,eeg_alpha_relative,-6.202878385351551e-05,-0.0024927328021842722,0.0026826649524932054,0.0010064914011942417,2,8,-0.000181247719818578,0.95002145002145,increase_mse
attention_primary,regression,random_forest,eeg_beta_relative,0.0003358324495535025,-0.0029401542188146573,0.0036991876573023905,0.0008025380699246157,4,8,-6.999359024904007e-05,0.95002145002145,increase_mse
attention_primary,regression,random_forest,eeg_gamma_relative,-0.0033471155211834943,-0.007763744092714823,0.00034258722630302763,0.0011890726366071513,4,8,-0.0033949208941268737,0.95002145002145,increase_mse
attention_primary,regression,random_forest,eeg_line_noise_ratio,0.0014465730986267771,-0.0027080112131481994,0.005243649326034926,0.0008758732412509236,5,8,0.0020841671075495726,0.95002145002145,increase_mse
attention_primary,regression,random_forest,gsr_mean_z,-0.0016660447649111845,-0.004721661146047235,0.001413328885289534,0.0006971730213125544,3,8,-0.0018248790746699494,0.95002145002145,increase_mse
attention_primary,regression,random_forest,gsr_std_z,-0.002657484403357107,-0.004762295665151847,-0.0005358946146727483,0.00039666732723677665,2,8,-0.0030152944970805564,0.95002145002145,increase_mse
attention_primary,regression,random_forest,gsr_min_z,-0.00045383436466662477,-0.0037234470403681823,0.0030719663498190376,0.0014392648125746844,3,8,-0.0009917424905211414,0.95002145002145,increase_mse
attention_primary,regression,random_forest,gsr_max_z,0.0017403508526133349,-0.002651819929578225,0.006755224361979264,0.0015914716150141905,3,8,0.0007925231114957798,0.95002145002145,increase_mse
attention_primary,regression,random_forest,gsr_tonic_mean_z,-0.0011948360955269799,-0.0041491145738579436,0.0023804802813614566,0.0014783682993028536,3,8,-0.0020550133869916554,0.95002145002145,increase_mse
attention_primary,regression,random_forest,gsr_phasic_mean_z,0.0015043763132753796,-0.0013538757816283608,0.004684011254024,0.0014077919415011483,6,8,0.0011286719008321011,0.95002145002145,increase_mse
attention_primary,regression,random_forest,gsr_slope_z_s,-0.0055288143719464805,-0.0066448840409759884,-0.004493093082288714,0.0013097500022461908,0,8,-0.005397432816148617,0.95002145002145,increase_mse
attention_primary,regression,random_forest,gsr_scr_count,4.187537982369698e-07,-1.771498777020347e-05,2.217941471054918e-05,7.659804504976576e-06,2,8,-3.178157367189627e-06,0.95002145002145,increase_mse
